Game Name,Package Name,Description,Icon URL,Category
"Subway Surfers","com.kiloo.subwaysurf","DASH as fast as you can! <br>DODGE the oncoming trains! <br><br>Help Jake, Tricky &amp; Fresh escape from the grumpy Inspector and his dog. <br><br>★ Grind trains with your cool crew! <br>★ Colorful and vivid HD graphics! <br>★ Hoverboard Surfing! <br>★ Paint powered jetpack! <br>★ Lightning fast swipe acrobatics! <br>★ Challenge and help your friends! <br><br>Join the most daring chase! <br><br>A Universal App with HD optimized graphics.<br><br>Originally co-developed by SYBO and Kiloo.","https://play-lh.googleusercontent.com/ykHUp1lJfS8xJ9SKi8xGqW2h7D0dCGK_0_77Z35yVoeRKpZn1RdLQJOP5cOHf20vvIU6","GAME_ARCADE"
"Snake Clash!","io.supercent.linkedcubic","Welcome to the 2023 Best Game, Snake Clash – the ultimate snake battle survival game that takes slithering to a whole new level! Immerse yourself in this slithering adventure, where you start as a hungry snake and aim to become the biggest and strongest snake in the Snake Clash universe!<br><br><br>🐍 Eat and Grow: <br>Embark on a thrilling journey of evolution as you devour other snakes whose levels are lower than yours. Maneuver through the snake-filled battleground, strategically manipulating your moves to outwit opponents and grow into an unstoppable force. The more you eat, the higher you climb in the food chain!<br><br><br>🏆 Defeat Bosses at Each Stage: <br>Prepare for epic showdowns! Confront powerful bosses at each stage, testing your skills and strategy. Can you manipulate your snake to defeat these formidable foes? Prove your mettle, conquer the boss battles, and ascend to new heights in the Snake Clash universe.<br><br><br>🧩 Collect Skins and Customize: <br>Make your snake stand out in the battlefield by collecting various skins. Personalize your slithering companion and showcase your style as you dominate the zone. With countless skin options, you can create a unique and eye-catching snake that reflects your personality.<br><br><br>🌐 Multiplayer iO Game : <br>Challenge your friends or face off against players from around the world in thrilling multiplayer mode. Experience the rush of battling it out to become the top snake in the arena. Join this fun addictive .io game<br><br><br>📶 Play Anytime, Anywhere: <br>No wifi? No problem! Snake Clash offers the flexibility to play anytime, anywhere. Whether you&#39;re on a plane, commuting, or simply want to enjoy some snake action without an internet connection, Snake Clash is your go-to game for endless entertainment.<br><br>Snake Clash brings together the classic snake experience with innovative features, making it a must-play for snake gamers alike! Join the Snake Clash revolution now and become the top snake in the slithering arena Manipulate, battle, and conquer your way to victory. Download for free and let the hungry chase begin!","https://play-lh.googleusercontent.com/Ps9ble2ja0F1s8VQmGj4n4lBW-390jFz63Uckicajh6GvKpFjWNgN-YGTRcVQj8rv53n","GAME_ARCADE"
"Geometry Dash Lite","com.robtopx.geometryjumplite","Jump and fly your way through danger in this rhythm-based action platformer!<br><br>Prepare for a near impossible challenge in the world of Geometry Dash. Push your skills to the limit as you jump, fly and flip your way through dangerous passages and spiky obstacles.<br><br>Simple one touch game play that will keep you entertained for hours!<br><br>Check out the full version for new levels, soundtracks, achievements, online level editor and much much more!<br><br>Game Features<br>• Rhythm-based Action Platforming!<br>• Unlock new icons and colors to customize your character!<br>• Fly rockets, flip gravity and much more!<br>• Use practice mode to sharpen your skills!<br>• Challenge yourself with the near impossible!<br><br>Contact: support@robtopgames.com","https://play-lh.googleusercontent.com/p7kWbWBFxQIrzolEqiV5uSvctLeyssZvBV7UBOX29wzZI52IdcSs4qCB_zsQJL1mt9A","GAME_ARCADE"
"Mob Control","com.vincentb.MobControl","🌟 Exciting Update: Dive into the Transformers Universe with our latest integration! Kick things off with Bumblebee in a brand-new story mode. And hold onto your hats because more legends like Optimus Prime are rolling out to join the fray in Mob Control. It&#39;s time for an epic crossover event that’s going to revolutionize your game experience!<br><br>🏰 Unleash Your Inner Commander in Mob Control: The Ultimate Tower Defense Clash! <br><br>🏆 Defend, Conquer, and Rise to Victory in this Epic Tower Defense Showdown! <br><br>Are you ready to become the ultimate champion in the world of tower defense battles? Mob Control brings you an unparalleled strategy and action-packed experience that will test your skills, wit, and tactical prowess. With oddly satisfying gameplay and a wide array of features, Mob Control is your gateway to tower defense supremacy.<br><br>Oddly Satisfying Gameplay: Create, Grow, and Lead!<br><br>Experience the strangely satisfying thrill of watching your mob multiply as you aim and shoot at the gates. Witness your army grow to massive proportions!<br>Strategically deploy your mighty Champions to break through enemy mobs and reach their bases. Choose the best combo for victory!<br>Explore intriguing level elements like speed boosts, multipliers, moving gates, and more, adding depth and challenge to your gameplay.<br><br>Become an Immortal Player: Rise Through the Ranks!<br><br>Earn Championship Stars by emerging victorious in battles, fortifying your bases, and dominating tournaments. Show the world your tower defense prowess!<br>Climb the prestigious Champions League using your hard-earned Championship Stars and become an immortal player, joining the elite few who have conquered this tower defense realm.<br><br>Fortify Your Base: Shield Your Dominion!<br><br>Secure your base from enemy raids by winning battles and earning valuable shields. Protect your hard-earned resources and maintain your tower defense dominance.<br><br>Unlock and Upgrade Cards: Collect, Evolve, and Dominate!<br><br>Win battles to unlock booster packs of varying rarities and enhance your card collection. Collectible cards hold the power to elevate your tower defense strategy to new heights.<br><br>Unlock all the Cannons, Mobs and Champions in the armory and discover their amazing evolutions as you level them up.<br><br>Diverse Game Modes: Challenge and Conquer!<br><br>Engage in thrilling game modes that keep the action fresh:<br>Base Invasion: Raid enemy strongholds, pilfer coins, and claim bricks from rival players. Plunder and dominate!<br>Revenge and Counter-Attack: Turn the tables on attackers and seek retribution against those who challenge your tower defense might.<br>Boss Levels: Test your tower defense mettle in unique level layouts, earning extra bonuses as you conquer the most challenging adversaries.<br><br>Season Pass: A Constant Stream of Fresh Content!<br><br>Dive into ever-evolving content with our monthly Season Pass.<br>Complete quests, advance tiers, and unlock new heroes, cannons and skins<br><br>Always Improving: Join the Evolution!<br><br>Our dedicated team is committed to delivering fresh mechanics and content every month. Stay connected and share your ideas via Settings &gt; Discord, actively contributing to the evolution of Mob Control.<br><br>A Premium Experience: Your Choice to Play Ad-Free!<br><br>Mob Control is free to download and utilizes ads to support ongoing development. Opt for the Premium Pass or a permanent no-ads package to enjoy uninterrupted tower defense action.<br>Speed up your progress and reap extra rewards without watching ads, thanks to Skip’Its.<br><br>Support and Privacy: Your Satisfaction Matters! Connect with us in-game via Settings &gt; Help and Support whenever you need assistance or have questions. Your privacy is crucial to us. Review our comprehensive privacy policy at https://www.voodoo.io/privacy<br><br>Join the tower defense clash like never before with Mob Control! Rally your army, harness the power of collectible cards, and become the tower defense champion you were born to be. Download now and embark on your journey to tower defense glory!","https://play-lh.googleusercontent.com/fYW81WEQjExj4VrCNcoWLJpn_YDRCTi_vdgwF7O61Th5715qbzopngJd7Ae2-ec-r24","GAME_ARCADE"
"Paper.io 2","io.voodoo.paper2","Welcome to the next level of addictive and thrilling gameplay with Paper.io 2! Enter a colorful and dynamic world where strategy, skill, and cunning are your greatest allies. Prepare to embark on an epic journey of conquest as you strive to dominate the virtual realm and become the ultimate champion!<br><br>Paper.io 2 builds upon the success of its predecessor, delivering an even more exhilarating multiplayer experience that will keep you hooked for hours on end. Join millions of players from around the globe in real-time battles where every move counts. Are you ready to claim your place at the top of the leaderboard?<br><br>🏰 Conquer Territory: Expand your territory and assert your dominance over the battlefield. Strategize your moves to outmaneuver opponents and capture as much space as possible. But beware, as rivals will stop at nothing to thwart your plans!<br><br>🌎 Global Domination: Compete against players worldwide in intense multiplayer matches. Test your skills against the best and rise through the ranks to become the ultimate ruler of Paper.io 2. Will you emerge victorious?<br><br>💥 Power-Up Arsenal: Gain the upper hand in battle with a variety of powerful abilities and enhancements. From speed boosts to defensive shields, choose your power-ups wisely to gain a strategic advantage over your adversaries.<br><br>🤖 AI Challenges: Not in the mood for multiplayer? Take on challenging AI opponents in solo mode and hone your skills to perfection. Can you beat the computer and prove your mastery of the game?<br><br>🎨 Customization: Express yourself with skins, themes, and avatars to choose from. Whether you&#39;re a fierce warrior or a playful prankster, there&#39;s a look for every style. Show off your personality and stand out from the crowd!<br><br>🏆 Achievements and Rewards: Unlock achievements and earn rewards as you progress through the game. From exclusive skins to in-game currency, there are plenty of incentives to keep you coming back for more.<br><br>🎮 Easy to Learn, Hard to Master: With simple controls and addictive gameplay, Paper.io 2 is easy to pick up for players of all skill levels. However, mastering the art of territory conquest will require cunning strategy and razor-sharp reflexes.<br><br>🎉 Endless Entertainment: With dynamic gameplay and endless possibilities, there&#39;s never a dull moment in Paper.io 2. From epic battles to hilarious mishaps, you&#39;ll be laughing, cheering, and rolling your way to victory!<br><br>👑 Become the Legend: Rise from a mere contender to a legendary champion as you conquer more territory and outsmart your opponents. Leave your mark on the virtual world of Paper.io 2 and etch your name into the annals of history.<br><br>Join the millions of players already hooked on Paper.io 2 and experience the thrill of conquest like never before. Whether you&#39;re a casual gamer looking for some quick fun or a competitive strategist seeking a challenge, Paper.io 2 offers something for everyone. Download now and embark on your quest for domination!","https://play-lh.googleusercontent.com/qbhOBLVCkb22a9ia4pekPggqip1BkIiSm1-sP1z5oj0f10gDwj1uL1spnwFWg4bf4Q","GAME_ARCADE"
"My Perfect Hotel","com.master.hotelmaster","😍 <b>A GAME TO KEEP YOU FULLY OCCUPIED</b> <br><br>Ever dreamed of running your own hotel? Start from the ground up in this fun and fast-paced time-management game where the aim is to build an accommodation empire and demonstrate your dedication to hospitality.  <i>Show your skills as a hotel manager, invest wisely in staff and property improvements, and work your socks off to become a hospitality tycoon in this addictive and entertaining casual simulator.</i><br><br><b>FIRST-CLASS SERVICE</b> 🎩<br><br>🧳 <b>Climb to the top:</b> Start the game as a simple bellhop single-handedly cleaning rooms, greeting guests at reception, collecting payments and tips, and keeping the bathroom stocked with toilet paper. As your bank balance expands, upgrade rooms and facilities, and employ new staff to help keep up with the growing demand at your hotel. Your guests may be sleeping comfortably, but there’s no time to rest for a determined hotel tycoon.<br><br>🏨 <b>Build an empire: </b>There are several hotels to explore and expand, each with dozens of different unique upgrades to make before you reach five-star perfection. Open hotels on the coast, in beautiful mountains, and deep in the tranquillity of a forest setting. Demonstrate your competence as a manager in each location, then get promoted to get a new and bigger property, and continue your path to becoming a true hotel tycoon. Each hotel has its own style and atmosphere too.<br><br>🔑 <b>Keep going: </b>If you want success in this high-stakes industry, you can’t just stroll around your property at a leisurely pace. Upgrade your and your employees’ movement speed to work faster and provide your guests with all the services they need ASAP — it’ll boost your revenue too.<br><br>💰 <b>Amenities are the answer: </b>Maximise profits and get more funds to invest in this fun simulator by ensuring your hotels have all available amenities. Bathrooms are the first step, but work hard and you’ll soon have the opportunity to add vending machines, restaurants, parking lots, and swimming pools to your properties. Guests will pay extra for each facility, boosting your revenue. Though remember each facility also needs staffing, so get hiring or you’ll soon run off your feet with angry guests left standing in line for each amenity.<br><br>👔 <b>Human resources: </b>: It also takes work to run each facility: the bathrooms must be stocked with toilet paper, guests must be granted access to the parking lot, in the restaurant customers need to be served and the tables need clearing after they’ve eaten, and at the pool you need to ensure a constant supply of clean towels and tidy sun loungers. You won’t have time to do it all yourself, so hire new staff, or you’ll soon have angry guests left standing in line. <br><br>🎀 <b>Grand designs: </b>Upgrade accommodation to improve guests’ experience of your property and choose from a range of different room designs in each location. In this engaging simulator, you’re not just a manager, you’re an interior designer too!<br><br> ⭐ <b>FIVE-STAR FUN</b> ⭐<br><br>Looking for a time-management game that’s original and simple to play and provides endless hours of entertainment? Dive straight into the fast-paced world of hospitality provision and develop your skills as a manager, investor, and designer. <br><br><u>Download My Perfect Hotel now and get to work building an accommodation empire.</u><br><br>Privacy Policy: https://say.games/privacy-policy<br>Terms of Use: https://say.games/terms-of-use","https://play-lh.googleusercontent.com/3hRbDjRjWMM6fIqfLFFt87W-_UCv-slKX46_zpDGc-i7Qv5GloRvtxoYpIrGILNUDc4","GAME_ARCADE"
"Hole.io","io.voodoo.holeio","The most addictive black hole game! <br><br>Can you move the black hole to swallow the buildings into the hole like an attacking hole master? The clock is ticking, tik tok, tik tok, will you succeed to swallow? <br><br>Enter the arena and face the other black holes in a fierce battle. Eat everything in sight with your black hole and expand it to eat more! Choose your favorite black hole skin and go like a hoard master. Show them who is the biggest black hole in town! Play Hole.io now!","https://play-lh.googleusercontent.com/fFpzp7aFtAEU6P0M27MP6ySeH9Y_ydMCUvIzOCqVs4f7T7sFET0PluL3JQ9uxLlPgA","GAME_ARCADE"
"Tower War - Tactical Conquest","games.vaveda.militaryoverturn","<b> BEAUTIFULLY SYMMETRICAL WARFARE!</b> 🪖<br><br>Turn the tide and win the war in this elegantly simple casual tactics game that’s guaranteed to appeal to all armchair commanders and pocket Napoleons. Head into battle with a single 👉 swipe and watch your little warriors eliminate the enemy, allocating your cute little forces with skill and precision to maintain your position and overcome the opposing armies. <br><br><i>Tap into your military genius and tap onto the next tower to continue your campaign of conquest and come out on top in this fast, fun, and occasionally infuriating strategy game that towers above the competition.</i><br><br>🔥 <b> COLORFUL WARFARE!</b> 🔥<br><br>★ Aww, war! Don’t be fooled by cute appearances, in this compact and colorful wargame it still takes nerves of steel, a will of iron, and ice-cold calculation to beat the enemy and conquer all before you. Real strategy and tactical thinking are required to win each battle, and every level can turn on a single lightning decision. Keep your wits about you, keep an eye on the enemy, and keep swiping fast to ensure victory.<br><br>★ Don’t let defeat get you down – you can relive past battles again and again, and you’ll want to keep on trying in this deceptively simple but fiendishly challenging game of military strategy and conquest that brings you fierce warfare and tactical intrigue in satisfying bite-size pieces.<br><br>★ Hours of towers! Use your tactical cunning to progress through the levels of tower-defense and unlock new types of towers, including artillery posts and tank factories. Other game mechanisms including multiple enemies, barriers, blockades, and mines mean the war is never over and there’s always a new challenge to spice up the already massively addictive gameplay.<br><br>★ Towering achievements – keep finding the elegant tactical solutions to win each battle so that you can unlock new areas and continue your reign of conquest in new climes, with beautiful backdrops adding to the game’s already supremely elegant (and cute) design.<br><br><b>ALL YOUR TOWERS ARE OURS!</b> 🎖️<br><br>Looking for a mobile strategy game that’s both serious fun and offers a genuinely sophisticated tactical challenge?  <br><br>💣 Tower War takes tower-defense to a new level of entertainment and ingenuity, with intuitive gameplay and exceptionally smart game design that will keep you coming back to the battlefield for more and more wildly entertaining wargames. <br><br><u>Raise your colors, stiffen your swiping finger and summon the fun of war by downloading  Tower War now and charging head-first into battle!</u><br><br>Privacy Policy: https://say.games/privacy-policy<br>Terms of Use: https://say.games/terms-of-use","https://play-lh.googleusercontent.com/0OXojvdml4U2GMCiHNJojoaOBsvYfeISUe3g-6bcsVph364O8wAsANO1bMjAwt3MiA","GAME_ARCADE"
"Pocket Champs: 3D Racing Games","com.pocketchamps.game","Are you ready for an action-packed multiplayer idle racing game? Train your Champ, improve its stats, get him the best gadget and win the race! <br><br><b>Pocket Champs is a fun multiplayer idle game </b>. Focus your training time on running, flying, or climbing and develop the best strategy before the race. Compete globally against other Champs: who will win the crown?<br><br><b>Running shoes, fins, or pick?</b> Choose the best gadget to give you an edge during the race! Open new chests every day and unlock some legendary gadgets like the Eagle or the Cheetah!<br><br><b> Participate to time-limited events </b> in crazy races against hundreds of opponents! <br><br>As you battle and clash for first place, your Champ will have to run, climb and swim to overtake the pack for victory. But be careful, not every race goes as planned as danger waits to throw you off course!  <br><br>🏃‍♀️ Highly competitive races against others.<br>👟 Raise and upgrade your special champion.<br>⚡ Unlock legendary gadgets<br>⭐️ Earn unique rewards and more!<br>🎉  Release your Champ and watch them race!<br><br>Do you have what it takes to win and become the Pocket Champ?<br><br>Having issues? Contact us at support_champ@madboxgames.io<br>FAQ link : https://madbox.helpshift.com/hc/en/","https://play-lh.googleusercontent.com/7e2ZClOmIGbQfKlMNaiJZ6J6O8Xm-W9YnMGWSzP1Q728VjLx6_VBL6vfNC7vWHZvYtpt","GAME_ARCADE"
"Trap Master - Squish Enemies","com.gergedan.trapgame","Get ready for action in Trap Master, the thrilling defense game where strategy meets excitement! In this addictive game, your goal is to stop a wave of enemies that emerge from a mysterious tube. As they march forward, you have to place traps and squish them!<br><br>FEATURES<br><br>Endless Enemy Waves: Battle against an ever-increasing number of enemies, each wave bringing a new challenge.<br><br><br>Place and Upgrade Traps: Set up a variety of traps to defeat your foes. Upgrade the traps to squish enemies faster.<br><br><br>Unique Levels: Play across many different stages, each with its own set of challenges. Complete a stage to progress to the next one.<br><br>Earn Gold for Upgrades: Completing stages earns you gold, which you can use for permanent upgrades.<br><br>Engaging Graphics and Sound: Enjoy captivating graphics and sound effects that enhance your gaming experience.","https://play-lh.googleusercontent.com/c-EzHzRyEI2_ee7t_4SUfoRq9EhRS1lgB4mBTkglzjz0NPs3jU_YzkZ_4SSCg3ZtOuc","GAME_ARCADE"
