Game Name,Package Name,Description,Icon URL,Category
"Build A Queen","com.Polystation.BuildABabe","Make the right choices to Build the Most Beautiful Queen!","https://play-lh.googleusercontent.com/4be_TezdgWnyfFVrKs-wrrgZOYvx1OPrvKQYCbwYVFPHAkBtsK1G2YzGcgh6h-Oe1Q","GAME_CASUAL"
"Dice Dreams™️","com.superplaystudios.dicedreams","<b>Welcome to Dice Dreams! <br>Join millions of players around the world! Roll the Dice on the magical board, Steal Coins, Attack your friends, build your Epic Kingdom and Embark on an adventurous journey! </b><br><br>🎯 Roll &amp; Win 🎯<br>🎲 Go on and Roll the dice on the board, Win Golden Coins &amp; collect gems to build your kingdom, become the Dice King and master the dice board game!<br><br>📋 Features: <br>🎯 Play for FREE with your friends and enjoy a variety of kingdoms. 🎯 <br>🎲 Join the action with players from around the world and play with your social network. <br>🎲 Steal from other boards and show them who&#39;s the Dice Dream King 😉 <br>🎲 Invite your Facebook friends to join the epic fun and become the master of the dice boards! <br>🎲 Protect your treasure and build the most magical kingdom! <br>🎲 Roll and play to collect cards by completing challenges and move up in levels!<br><br>🍿🍿The Legend Behind The Dice🍿🍿<br>Bob, the first of his name, returned to his kingdom after a journey visiting the Piggy King, only to find that his beloved home had been attacked!<br>Brave Bob decided to roll the dice and clash his enemies head on. He gathered his fellow peons, and together they went on an adventure to rebuild his kingdom, get revenge, and once again become the Kings of the hyper magical dice board game.<br><br>Will you help Bob and his friends on their quest to regain their throne as the Dice Dreams Kings? Will you travel through Peon Islands and other dreamy boards to bring them back to glory in this thrilling board game? <br><br>Has your kingdom been attacked by a friend? It&#39;s time for revenge! Steal coins from them and upgrade your kingdom with the perfect bonus. Expand your kingdom by building more and making the Peons happy! Don&#39;t wait any longer, start building your kingdom and win amazing prizes in this captivating board game!<br><br>🎲 Raid your enemies or friends. Just aim your slingshot, fire, and loot away! 🎯<br>🎲 Earn gold by stealing from other kingdoms and making their treasure- YOURS! <br>🎲 Get revenge on those who attacked your kingdom and rule the dice board game!<br>🎲 Become the master of the dice board and help the Peons restore their kingdom! <br>You never know what treasures you can find in your friend’s kingdom. Attack and be surprised!<br><br>Get ready to go on an epic adventure with Dice Dreams!<br>Build your empire, attack your friends&#39; boards, and earn awesome prizes and coins! Will you be the master of the dice board game? With a variety of exciting challenges, there&#39;s always something new and thrilling to go for in Dice Dreams. So start building and become the ultimate Dice Dreams champion!<br><br>🎯 Dice Dreams is free on all devices with in-app purchases.<br><br>🎯 Follow Dice Dreams on Facebook for exclusive offers and bonuses!<br>https://www.facebook.com/DiceDreams/<br>🎯 Are you having problems?<br>Please contact via email us at support@superplay.co","https://play-lh.googleusercontent.com/QUzf9m4noU2CG79uaSZjmWNQnRgUxE7k3P1vyrJ4G35qMPvjfP8CR-YW-UuOeHrSSsI","GAME_CASUAL"
"Relax Mini Games","com.yg.mini.games","Do you want to play some relaxing games?  We are offering the best anxiety relief games in this application to help you get calm and achieve mindfulness!  There are many satisfying games included in this app. Examples include mucus simulators, hydraulic presses, firearms simulators, X-ray simulators, and so on.  Open the anti-stress app when you&#39;re bored and choose one of dozens of toys to play with!<br><br>If you are looking for a game to relieve stress and anxiety, then you must download this Relax Mini Games!  It frees your brain from the stress and anxiety that will drown in it!  Provide you with an endless experience of peace and happiness while sweeping away all your worries.<br><br>In addition, the app is constantly updated with new anti-stress toys every 2 weeks, and it will always keep fresh content to help you feel calm and relieve anxiety.    So, what are you waiting for?    Download this game now to calm your mind, get rid of stress and improve your quality of life!","https://play-lh.googleusercontent.com/nBlS47yDgja3d6K3bQM7hMCxAIahREY8GMXR0Pd8PkQJRdqEkCL_EsQYQe-zkPkzjVM","GAME_CASUAL"
"Truck Star","com.vm3.global","Dive into the thrilling universe of trucks with an addictive Match-3 puzzle game.<br><br>Embark on a journey of unmatched realism and experience the exhilaration of Truck Simulator, all within a single game.<br><br>Experience a unique blend of simulation and tycoon gameplay for an unparalleled gaming experience.<br><br>Personalize your trucks with customizable lights, bumpers, horns, and more!<br><br>Assemble the ultimate fleet of trucks you&#39;ve always dreamed of.<br><br>Stay tuned for frequent updates and more exciting features!","https://play-lh.googleusercontent.com/KsGGqXBwodvtJh2uTiI5_8Gu9QvuIRpl_D3MGcnh46RMtzRiV0_uRxwZJpjz1osuMJ4","GAME_CASUAL"
"Candy Crush Saga","com.king.candycrushsaga","Master the legendary match 3 puzzle game from King and have a blast! With over a trillion matching levels played, Candy Crush Saga is the popular match 3 puzzle game!<br><br>Match, pop, and blast candies in this tasty puzzle adventure to progress to the next level and get a sugar blast! Master match 3 puzzles with quick thinking and smart matching moves to be rewarded with sugar bonuses and tasty candy combos.<br><br>Spread jam by matching 3 or more candies in a row and blast your way through the extra sticky puzzles using jelly fishes! Blast jam and chocolate to collect sweet candy juice across thousands of puzzle levels, guaranteed to have you craving more!<br><br>BECOME THE MASTER OF THE CANDY KINGDOM<br>- Win thousands of sweet matching puzzles: with new puzzles added every 2 weeks, your sugar fix is never far away!<br><br>WIN CANDYLICIOUS REWARDS<br>- Spin the Daily Booster Wheel to receive jelly fishes and other tasty rewards! Master time-limited match 3 challenges to earn boosters and clear the jelly! <br><br>VARIETY OF SUGAR-COATED PUZZLE GAMES<br>- Sweet ways to play! Play match 3 game modes and more including Sweet Escape and Clear the Jelly. <br>- Level up playing match 3 puzzles that range from easy to hard, accessible online or offline.<br><br>BLAST CANDIES WITH FRIENDS<br>- Match and pop candies to get to the top of the leaderboard! Compare scores with friends and find out who’s the match 3 master!<br>- Enjoy the sweetest of match 3 puzzle games around! <br><br>If you want to master and blast even more puzzles, you may also enjoy other games from King: Candy Crush Soda Saga, Farm Heroes Saga, and Pet Rescue Saga.<br><br>Candy Crush Saga is free to play but optional in-game items require payment. You can turn off the payment feature by disabling in-app purchases in your device’s settings.<br><br>By downloading Candy Crush Saga you agree to our terms of service which can be found at https://king.com/termsAndConditions<br><br>Do not sell my data: King shares your personal information with advertising partners to personalize ads. Learn more at https://king.com/privacyPolicy. If you wish to exercise your Do Not Sell My Data rights, you can do so by contacting us via the in-game help center or by going to https://soporto.king.com/contact","https://play-lh.googleusercontent.com/TLUeelx8wcpEzf3hoqeLxPs3ai1tdGtAZTIFkNqy3gbDp1NPpNFTOzSFJDvZ9narFS0","GAME_CASUAL"
"Tile Dynasty: Triple Mahjong","com.tripledot.tile.dynasty","Welcome to the captivating world of Tile Dynasty, where the art of matching tiles takes center stage in this exciting puzzle adventure!<br>Immerse yourself in a rich tapestry of colorful tiles, each waiting for your strategic touch. Your objective? Match three tiles of the same color to clear the board and ascend to puzzle mastery. With every level presenting a fresh array of mahjong tiles and obstacles, the excitement never wanes.<br><br>Features:<br>Exciting Mahjong games: Dive into a puzzle game experience that&#39;s easy to learn but hard to master, keeping you coming back for more.<br>Strategic Challenges: Plan your moves carefully to outsmart obstacles, match three tiles, and claim victory over each tile game level.<br>Stunning Visuals: Lose yourself in a world of vibrant colors and enchanting landscapes, each more beautiful than the last.<br>Power-Ups and Bonuses: Unlock special abilities and boosts to help you overcome even the toughest challenges and Mahjong games.<br><br>But what sets Tile Dynasty apart from the Mahjong classic game is not just its puzzles—it&#39;s the journey. As you match tiles and progress through each level, you&#39;ll encounter new landscapes, unlock power-ups, and unravel the mysteries of the ancient Mahjong tile dynasty. From tranquil gardens to bustling marketplaces, every setting offers a new backdrop for your tile-matching prowess.<br>But beware, for the path to victory is not without its trials. Cunning obstacles and devious puzzles stand between you becoming the tile master, testing your strategic acumen with every match three move. Will you rise to the challenge and claim your place among the tile-matching elite?<br>With its sleek interface and challenging puzzles, this Mahjong classic redefines the essence of ancient entertainment into the 21st century. Tile Dynasty is more than just a Mahjong tile game. With regular updates and new tiles games and challenges added frequently, the adventure never ends. Match tiles today and discover your new favorite puzzle game.<br><br>Tile Dynasty isn&#39;t just about solving puzzles— embark on an adventure through diverse landscapes and unravel the secrets of ancient tile dynasties. As you progress through each level, the game reveals new environments, from tranquil gardens to bustling marketplaces, each meticulously designed to provide a captivating backdrop for your tile-matching endeavors. Mahjong games offer a timeless blend of strategy and relaxation, providing you with an immersive experience that transcends the boundaries of time and culture.<br><br><br>Strategically match Mahjong tiles to clear the board and win points. With each tile game you’ll climb further up the map and closer to becoming the tile master. <br>Tile Dynasty is an homage to the classic Mahjong games. Delve into a world where tradition meets innovation as you match iconic Mahjong tiles amidst the modern puzzle landscape. Each Mahjong classic tile carries with it a rich history and symbolism, adding depth and intrigue to every match. Whether you&#39;re a seasoned Mahjong player or a newcomer to matching games, Tile Dynasty offers a fresh and exciting take on this beloved tradition. Prepare to immerse yourself in the captivating fusion of old and new, where the spirit of Mahjong reigns supreme in every move.<br>Join the Tile Dynasty today, match tiles, and unleash your inner tile master!","https://play-lh.googleusercontent.com/SVZEHKU1KYsjrPoRzLiXptkNWFGvB46-xQxJnQgJw616zIB3dDGIrMP5u3JN3kY0-Erc","GAME_CASUAL"
"Bluey: Let's Play!","com.budgestudios.googleplay.BlueyBLU","Explore, imagine, create &amp; play in Bluey&#39;s house. There&#39;s so much to do!<br>Wackadoo! Come join Bluey, her friends &amp; family! For real life.<br><br>Fun, easy &amp; calm kids learning game for boys and girls of all ages. Preschool children and toddlers will enjoy this app. Parents and other family members can play along too!<br><br>EXPLORE<br>Discover and play all over the Heeler family home, just like in the TV show! Hunt for longdogs, play a game of Pop up Croc, listen to your favorite Bluey tunes, and so much more! Can you find all the hidden surprises?<br><br>IMAGINE<br>Every room allows for deep, imaginative play. Just like Bluey, anything is possible if you use your imagination! Make up your own stories as you go, or re-create your favorite Bluey moments. Bingo, Bandit, Chili, and all of Bluey’s friends and family are here and ready to join the fun.<br><br>CREATE<br>Bluey&#39;s house is your virtual playset and the fun is at your fingertips! Tap, drag and interact with everything. Cook up some favorite recipes in the kitchen, help build a pizza oven in the backyard or throw a tea party - there’s no end to what you can create! <br><br>PLAY<br>Have a game of keepy-uppy, bounce on the trampoline, splash in a tub full of bubbles or swing in the backyard - the possibilities are endless! <br><br>SAFE &amp; KID FRIENDLY<br>Fun kids games designed for preschool, kindergarten, elementary school girls &amp; boys, based on their favorite show available on YouTube, YouTube Kids &amp; Disney+. This interactive Bluey game is easy and fun to play for children aged 2-9.<br><br>ABOUT BLUEY<br>Bluey is a loveable, inexhaustible six year-old Blue Heeler dog, who loves to turn everyday family life into boundless, playful adventures, developing her imagination and resilience as she goes. The award-winning TV show has been praised for its depiction of modern families and positive parenting.  <br><br>SUBSCRIPTION DETAILS<br>- This app may offer monthly or yearly subscriptions<br>- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period<br>- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user&#39;s Account Settings after purchase<br>- Your account will be charged for renewal within 24-hours prior to the end of the current period<br>- You can cancel your subscription at any time, but please note that you will not get a refund for any remaining period of a subscription<br><br>PRIVACY &amp; ADVERTISING<br>Budge Studios takes children&#39;s privacy seriously and ensures that its apps are compliant with privacy laws. This application has received the “ESRB Privacy Certified Kids’ Privacy Seal”. Read our privacy policy at: https://budgestudios.com/en/legal/privacy-policy/, or email our Data Protection Officer at: privacy@budgestudios.ca<br><br>END-USER LICENSE AGREEMENT<br>https://budgestudios.com/en/legal-embed/eula/<br><br>ABOUT BUDGE STUDIOS<br>Budge Studios was founded in 2010 with the mission to entertain and educate boys and girls around the world, through innovation, creativity and fun. Its high-quality app portfolio consists of original and branded properties, including Bluey, Barbie, PAW Patrol, Thomas &amp; Friends, Transformers, My Little Pony, Strawberry Shortcake, Miraculous, Caillou, The Smurfs, Miss Hollywood, Hello Kitty and Crayola. Budge Studios maintains the highest standards of safety and age-appropriateness, and has become a global leader in children’s apps for smartphones and tablets.<br><br>HAVE QUESTIONS?<br>We always welcome your questions, suggestions and comments. Contact us 24/7 at support@budgestudios.ca<br><br>BLUEY TM and BLUEY character logos TM &amp; © Ludo Studio Pty Ltd 2018. Licensed by BBC Studios. BBC logo TM &amp; © BBC 1996<br><br>BUDGE and BUDGE STUDIOS are trademarks of Budge Studios Inc.<br>Bluey: Let&#39;s Play © 2023 Budge Studios Inc. All Rights Reserved.","https://play-lh.googleusercontent.com/YtCQXYsvI0hG4KkAQGtvAYOImH5TseWTUmJX80chq4L27Z2ZL3sAm3QvepPN8sOdzw","GAME_CASUAL"
"Left or right: Magic Dress up","com.dressup.fashionshow.leftright","Left or Right: Magic Dress Up - where fashion decisions become a headache! Mix and match your way through stunning outfits as you navigate the tricky question: left or right? Will you be a fashionista or a fashion disaster? It&#39;s a catwalk of chaos, and your closet is the battleground!<br><br>🎀 Game Features:<br><br>Enjoyable experience for fashion enthusiasts<br>Interactive and fascinating gameplay<br>Diverse clothing collection<br>Take on fashion challenges and battles<br><br>🎀 How to Play:<br><br>Mix and match fashion items by choosing left or right<br>Choose the best outfit to battle and win<br><br>Are you ready to become a famous stylist? Download Left or Right: Magic Dress Up and make your dream come true ✨","https://play-lh.googleusercontent.com/mooJ0T2tpXqWqq8oJCGPQquJnpj6WDlCiVvyTomfZF7jPI8UTQu6HL37bYwMk97ypg","GAME_CASUAL"
"Township","com.playrix.township","Township is a unique blend of city-building and farming! <br><br>Build your dream town! Harvest crops at the farms, process them at your facilities, and sell goods to develop your town. Trade with exotic countries. Open restaurants, cinemas, and other community buildings to give life in your town special flavor. Explore the mine to get resources and find ancient artifacts. Run your own zoo and collect animals from around the world.<br>Are you ready to become a farmer and city-manager to build your dream? Let’s get started!<br><br>Township features:<br>● Different buildings and decorations you can use to create your dream town<br>● Various crops to grow and later process at your factories<br>● Fun, charismatic townspeople with orders you need to fill<br>● Your town&#39;s mine packed with ancient artifacts to discover and collect<br>● Lovely animals to take care of<br>● Farms to manage and expand<br>● Exotic goods brought from islands<br>● A zoo to build where you can even breed animals<br>● Country flags and famous landmarks you can use to decorate your town, like the Statue of Liberty, Big Ben, and many more!<br>● Play with your Facebook and Google+ friends, make new friends in the game community create your own clans! <br><br>Township is free to play, though some in-game items can also be purchased for real money.<br><br>*Internet connection is required to play the game and enable social interactions, competitions and other features* <br><br>Enjoying Township? Learn more about the game! <br>Facebook: www.facebook.com/TownshipMobile <br>Twitter: twitter.com/township_mobile <br><br>Questions? Contact our Tech Support by sending an email to township@playrix.com or check our Web Support Portal: https://playrix.helpshift.com/webchat/a/township/?p=web&amp;contact=1<br><br>Privacy Policy: <br>https://playrix.com/en/privacy/index.html<br>Terms of Service:<br>https://playrix.com/en/terms/index.html","https://play-lh.googleusercontent.com/m1KhKLKxzxwfHC91E2j4IVHWtIlbRLxC638kDg_jVA-HLPhc0Sn-RsD-3T4pmLvyEys","GAME_CASUAL"
"Going Balls","com.pronetis.ironball2","Get ready to navigate through a wild and wacky world in Going Balls - the addictive rolling ball platformer! With over 200 million downloads, this game is a must-try for anyone who loves a good challenge.<br><br>With over 1000 levels in total, you will never run out of new and exciting challenges to conquer.","https://play-lh.googleusercontent.com/uStmpVPF2ByLKg8t8-lbFJjJYV4wtyNwMXWp8tseCVXj-wtpV3lvQ2bTiYMQutU2SeFB","GAME_CASUAL"
