Game Name,Package Name,Description,Icon URL,Category
"Toca Boca World","com.tocaboca.tocalifeworld","Toca Boca World is a game with endless possibilities, where you can tell stories and decorate a whole world and fill it with characters you collect and create!<br><br>What will you do first - design your dream house, spend a day at the beach with friends or direct your own sitcom? Decorate a restaurant or play that you’re running a dog daycare center? <br><br>Express yourself, play with your characters and designs, tell stories and explore a world of fun with gifts every Friday!<br><br>You&#39;ll love Toca Boca World because you can:<br><br>• Download the app and start playing right away<br>• Tell your stories your way<br>• Use the Home Designer tool to design &amp; decorate your own houses<br>• Create and design your own characters with Character Creator<br>• Get exciting gifts every Friday<br>• Engage in Roleplay<br>• Explore and play across new locations<br>• Unlock hundreds of secrets<br>• Create, design and play in endless ways on a secure platform <br><br>Create your own characters, homes and stories!<br><br>Toca Boca World is the perfect game when looking to explore, be creative, express yourself or simply want to enjoy a quiet moment playing, creating characters, telling stories and relaxing in your own world.<br><br>Weekly gifts!<br>Every Friday, players can claim gifts at the Post Office. We also have annual Gift Bonanzas when we re-release previous years’ gifts!<br><br>11 locations &amp; 40+ characters included in the game download<br><br>Start discovering your world by visiting the hair salon, shopping mall, food court, and your first apartment in Bop City! Play out your own stories with your characters, unlock secrets, decorate, design and create!<br><br>The home designer &amp; character creator tools<br>The Home Designer and Character Creator tools are included in the game download! Use them to create and design your own interiors, characters, and outfits!<br><br>Get new locations, houses, furniture, pets and more!<br><br>Checked out all the included houses and furniture and want to explore more? Our in-app shop is constantly updated and contains 100+ additional locations, 500+ pets and 600+ new characters available for purchase. <br><br>A safe and secure platform<br><br>Toca Boca World is a single player kids’ game where you can be free to explore, create and play.<br><br>About Us:<br>At Toca Boca, we believe in the power of play. Our fun and award-winning apps and kids’ games have been downloaded more than 849 million times in 215 countries. Go to tocaboca.com to learn more about Toca Boca and our products.<br><br>We take privacy seriously. https://tocaboca.com/privacy<br><br>Toca Boca World can be downloaded at no charge, with in-app purchases available.","https://play-lh.googleusercontent.com/vqylV-bGpTBaySKywvvy-Q0S3sqy6uwOteMdRoZrDrtbyh_7sn40jl5zAj8s-sfn_Q","GAME_EDUCATIONAL"
"PBS KIDS Games","org.pbskids.gamesapp","The PBS KIDS Games app makes learning fun and safe with educational games for kids featuring favorites like Daniel Tiger, Wild Kratts, Lyla in the Loop, and more! Your child can play and learn with 250+ free educational games designed just for them!<br><br>Play and learn with PBS KIDS in English and Spanish with favorites like Alma, Rosie, and more. Download fun games for kids and play from the safety of your home or anywhere to keep the fun going offline.<br><br>Your child will learn and play in a safe, kid friendly interface, making preschool, kindergarten, and early elementary education fun and easy. Start your child’s learning adventure today!<br><br>SAFE GAMES DESIGNED FOR KIDS<br>* PBS KIDS Games provides a safe, kid friendly playing experience for your child or toddler<br>* Play mini games that boost imagination and allow kids to learn with beloved PBS KIDS characters<br><br>PLAY GAMES OFFLINE<br>* Download fun kids games and play offline!<br>* Kids can easily browse and play at home, on the road, or anywhere<br>* Download games to keep learning on the go<br><br>LEARNING GAMES FOR GRADE SCHOOL EDUCATION<br>* 250+ FREE curriculum-based games for kids ages 2-8<br>* Encourage early learning with educational games for kids with different school subjects<br>* Explore mazes, puzzles, play dress-up, coloring, and more<br>* Preschool and kindergarten games<br>* Math games<br>* Science games<br>* Reading games<br>* Art games<br>* And more!<br><br>NEW GAMES ADDED WEEKLY<br>* Kids will learn and have fun with new games added frequently<br>* Play new games with accessibility features to enhance the fun!<br>* Build STEM skills with science, engineering, and math puzzles<br>* Play games geared to help with social concepts like kindness, mindfulness, and emotions<br>* Games and activities for kids that can foster healthy habits by learning daily routines<br>* Spark creativity and imagination with art games<br><br>PLAY GAMES FROM PBS KIDS SHOWS<br>* Daniel Tiger’s Neighborhood<br>* Wild Kratts<br>* Lyla in the Loop<br>* Work It Out Wombats!<br>* Rosie’s Rules<br>* Alma’s Way<br>* Donkey Hodie<br>* Odd Squad<br>* Pinkalicious &amp; Peterrific<br>* Arthur<br>* Elinor Wonders Why<br>* Let’s go Luna<br>* Xavier Riddle and the Secret Museum<br>* Scribbles and Ink<br>* Clifford<br>* Molly of Denali<br>* Sesame Street<br>* Nature Cat<br><br>PLAY IN ENGLISH OR SPANISH<br>* Bilingual kids will enjoy playing with Alma, Rosie, and more in English and Spanish<br>* Spanish speakers can play 17 educational games<br><br>PARENT RESOURCES<br>* Manage the app’s device storage for offline fun<br>* Download related PBS KIDS apps to expand your child’s learning<br>* Learn more about PBS TV shows, such as intended age and learning goals<br>* Find your local PBS KIDS station schedule<br><br>Play fun educational games and join your kids on a learning adventure alongside their favorite PBS KIDS characters with the PBS KIDS Games app!<br><br>Download PBS KIDS Games and start learning today!<br><br>ABOUT PBS KIDS<br>PBS KIDS, the number one educational media brand for kids, offers all children the opportunity to explore new ideas and new worlds through television, digital platforms, and community-based programs. PBS KIDS Games is a key part of PBS KIDS’ commitment to making a positive impact on the lives of children through curriculum-based media—wherever kids are. More free PBS KIDS games are also available online at pbskids.org/games. You can support PBS KIDS by downloading other PBS KIDS apps in the Google Play Store.<br><br>AWARDS<br>* Kidscreen Awards (2024): Best Game App – Branded, Digital, Preschool<br>* Webby Winner and Webby People’s Voice Winner (2023)<br>* Kidscreen Award Winner (2021 and 2022): Preschool - Best Game App<br>* Parents&#39; Choice Recommended Mobile App (2017)<br><br>PRIVACY<br>Across all media platforms, PBS KIDS is committed to creating a safe and secure environment for children and families and being transparent about what information is collected from users. To learn more about PBS KIDS’ privacy policy, visit pbskids.org/privacy.","https://play-lh.googleusercontent.com/hKtBs4lW0Ri1StwUKHlcYkYwHAmANgr5wt2MnoFrTYQ3Xkq107FCy-b1VhQEFDrKuE0u","GAME_EDUCATIONAL"
"Little Panda's Ice Cream Games","com.sinyee.babybus.icecream","The hot summer is coming! Join Little Panda&#39;s Ice Cream Game and enjoy the joy of making ice cream! Let your imagination run wild and create rainbow ice cream! What are you waiting for? Start your ice cream game now!<br><br>A VARIETY OF ICE CREAM<br>Here, you can make different types of ice cream, such as rainbow popsicles, fruit ice cream, and fried yogurt ice cream! With a wide range of flavors and unique shapes, you&#39;ll have plenty of creative fun!<br><br>CREATIVE COOKING<br>Mix your ice cream mixture according to your preferences! Add any ingredients you like: watermelon, chocolate, nuts, or even chili peppers! Start the machine and wait a moment, and your exclusive ice cream will be ready!<br><br>COLORFUL DECORATIONS<br>Choose beautiful decorations to adorn your ice cream! From candies, sweet sauces to sun umbrellas and Christmas trees, you have a wide variety of decorations to choose from. They will help you complete your creation!<br><br>FUN MANAGEMENT<br>Look, customers are lining up! Serve them refreshing ice cream to beat the heat and earn lots of coins! After customers taste the ice cream, you can adjust your ice cream recipe based on their different reactions!<br><br>Continue your creative ice cream making! Let your ice cream shop become the most popular place in summer!<br><br>FEATURES:<br>-Make a variety of delicious ice cream;<br>-Various flavors, ingredients, and shapes;<br>-A wide variety of easy-to-use machines;<br>-Enjoy the fun of being an ice cream chef;<br>-Choose from dozens of adorable decorations;<br>-Each customer&#39;s reaction depends on what you make!<br><br>About BabyBus<br>—————<br>At BabyBus, we dedicate ourselves to sparking kids&#39; creativity, imagination and curiosity,and designing our products through the kids&#39; perspective to help them explore the world on their own.<br><br>Now BabyBus offers a wide variety of products, videos and other educational content for over 600 million fans from ages 0-8 around the world! We have released over 200 children&#39;s apps, over 2500 episodes of nursery rhymes and animations, over 9000 stories  of various themes spanning the Health, Language, Society, Science, Art and other fields.<br><br>—————<br>Contact us: ser@babybus.com<br>Visit us: http://www.babybus.com","https://play-lh.googleusercontent.com/h9rop0hU7aY21JNsfFcX24gFgg2LyvcJtIcxRWRNonDyIAc2nLsty4GRbuHeHKhVFg","GAME_EDUCATIONAL"
"Toca Boca Jr","com.tocaboca.tocakitchen2","Ready to play YOUR way? Toca Boca Jr brings Toca Boca’s most-loved games for kids together in one app! Perfect for preschoolers, Toca Boca Jr is full of fun ways to play, create, build worlds and explore. <br><br>Toca Boca Jr is part of Piknik – one subscription, endless ways to play and learn! Get full access to the world&#39;s best preschool apps from Toca Boca and Sago Mini with an Unlimited Plan.<br><br>TOCA NATURE<br>Create your own world, shape nature and watch it develop around you! Plant trees and grow a forest. Raise a mountain and enjoy the view from the summit. Collect berries, mushrooms, or nuts and feed all the different animals you meet. Take photos of everything you’ve created and have fun exploring the magic of nature! <br><br>TOCA KITCHEN 2<br>Have you ever wanted to play with your food? Now you can! Create and serve all sorts of tasty (and not-so-tasty) food in Toca Kitchen 2 to some hungry characters and see what they like. Sliced carrots, fried fish, or lettuce juice? It’s up to you! Cook with creativity and make some fun recipes to share with your friends! <br><br>TOCA LAB: ELEMENTS<br>Calling all future scientists! Explore the fun and electrifying world of science and meet all 118 of the elements from the periodic table. Run tests with five different lab tools to see how each element reacts. You just might discover something new! Put on your lab coat and get ready to start playing with elements – things are about to get experimental! <br><br>TOCA BUILDERS<br>If you can imagine it, you can build it! Join your six new builder buddies on a far-away island and create a whole new world with blocks. Jump, walk, roll, and rotate the builders to use their unique skills, and they’ll help you stack, smash, paint, decorate, and build your own creations. Unleash your creativity and start building!<br><br>TOCA PET DOCTOR <br>Take care of 15 pets of all shapes and sizes! From a turtle flipped over on its shell to a dinosaur with a stomach bug, there are lots of furry, finned and feathered friends in the waiting room. Use different tools and supplies to treat each pet’s symptoms, and don’t forget to give them a treat when you’re done. Wake them up from their nap to start playing again!<br><br>TOCA LAB: PLANTS<br>Get ready to grow, create, and play with plants! Toca Lab: Plants lets your curiosity lead the way as you evolve your plants into new species. Experiment with the grow light, watering tank, nutrition station, cloning machine, or crossbreeding apparatus to collect all 35 plants and discover their unique personalities! <br><br>FEATURES <br>• Unlimited access to Toca Nature, Toca Kitchen 2, Toca Lab: Elements, Toca Builders, Toca Pet Doctor, Toca Lab: Plants and Toca Boo<br>• Play pre-downloaded games offline without WiFi or internet for on-the-go fun<br>• Use one subscription across multiple devices for easy family sharing <br>• COPPA and kidSAFE certified – safe and secure screen time for kids<br>• No rules or time limits – just fun, open-ended play led by your creativity! <br>• No third-party advertising or in-app purchases<br><br>PRIVACY POLICY<br>All of Toca Boca’s products are COPPA-compliant. We take privacy very seriously, and we’re committed to providing safe and secure apps for kids that parents can trust. To learn more about how we design and maintain safe games for kids, please read our:<br><br>Privacy policy: https://playpiknik.link/privacy-policy<br>Terms of use: https://playpiknik.link/terms-of-use<br><br>ABOUT TOCA BOCA <br>Toca Boca is an award-winning game studio that makes digital toys for kids. We think playing and having fun is the best way to learn about the world. Therefore we make digital toys and games that help stimulate the imagination, and that you can play together with your kids. Best of all – we do it in a safe way without third-party advertising.","https://play-lh.googleusercontent.com/LfUnZ0XOfIE97EBq9Ih1Pz_hNeV4yZp9vpIm9XY0jUbnkXFfxHwqNIUo13eU1x_vYJU","GAME_EDUCATIONAL"
"Tizi Town: My Princess Games","com.iz.tizi.royal.princess.dollhouse.life.games.home.design.world.my.wonder.town","Do you want to design a princess dream house? Here&#39;s the chance! Design walls, floor and decor rooms. Indulge in decorating bedroom, living room, kitchen, home and use your interior design skills to redecor spaces in Tizi Town: Home Design Games. Decorate your dream house and renovate your very own princess castle or mansion, make home improvement, create stories with avatars, add room furniture, while you interior design your modern home, creating a unique house design. Role-play as your favorite character in this avatar world. Be the best interior designer in the town. It&#39;s a fantasy world where there&#39;s no limit to creativity and fun. <br><br>Dive into the enchanting world of Tizi Town&#39;s dream house games! Unleash your creativity with intricate home design options that let you make your own house masterpiece. Craft your dream house in a captivating world town setting, where your avatar can explore and interact. These home designer games offer endless possibilities for kids and families to enjoy, making it an ideal choice for both family and princess games enthusiasts.<br><br>Choose from a variety of objects &amp; design into a beautiful new home. Become an expert in renovation and unlock more colors and new skills. Style houses using home furnishings added in updates all of the time, catering to different avatars.<br><br>Features of the app are:<br>* Tons of objects to decorate your rooms<br>* Various royal items to play with!<br>* Touch, drag, and explore every object and see what happens!<br>* Made for kids of ages 6-8, but everyone will enjoy playing in this dollhouse with their unique avatars.<br>* The app is completely free.<br><br>Be a princess with your personalized avatar right away and start decorating your castle.  Download now!","https://play-lh.googleusercontent.com/0rDHi5LEPWZj7w_LEXT55ZI-0xpgX9cBlQttp6YEmXkVFIVk2p1YCm_awKKCka3ymABP","GAME_EDUCATIONAL"
"Aha World: Baby Care","com.ahaworld.ahaworld","Jump into Aha World and create your own unique role playing games. It’s a mini world full of fun characters, amazing locations, and adorable animals. (There are also some not-so-adorable monsters, so watch out!)<br><br>WELCOME TO AHA WORLD!<br>Experience The City and all its bustling fun! Cook in style at the revolving restaurant, keep the streets clean at the Police Department, or take a relaxing walk in the city park. Outside The City, more adventures await! Ever wanted to explore a medieval Viking town? A magical dragon island? Play dinosaur games in a Jurassic park? In Aha World you can do and be anything. Come and unlock the hidden mysteries and secrets across all the locations. Aha World&#39;s building games and dress up dolls mean if you can dream it, you can make it!<br><br>WHAT MAKES AHA WORLD GREAT?<br>Aha World is designed for you to explore and create. Decorate and furnish your house. Pick up and play fun games with every item you find. Express yourself by creating stories with original characters in the unique locations of Aha World. Make friends with a sea monster, climb to the top of a lighthouse, or play cute animal games. With a nearly endless number of interactive items, characters, and settings, there&#39;s no limit to what you can do!<br><br>DESIGN YOUR PERFECT HOME<br>Will you choose the ultimate Pink Dream Mansion to decorate and call home? Or do you prefer the outdoor life in the Motorhome? Maybe downtown in the Studio Apartment! It&#39;s your home to design and decorate exactly how you want. If you choose the Villa, don&#39;t forget to invite your friends over to the pool party!<br><br>CREATE CHARACTERS<br>Choose from hundreds of faces, outfits, makeup, and accessories to create your own customizable characters! Will they be glamorous, cute, or just downright weird? Play dress up games YOUR way!<br><br>PLAY AS ANYONE<br>Everyone in Aha World is under your control! Choose your characters&#39; expressions, give them a voice, make them move and dance, and (if you dare) make the fart! The only limit is your imagination.<br><br>EXPLORE EVERYTHING<br>Adventure through all the locations of Aha World — each filled with hundreds of fun and hilarious elements. Play with items to discover hidden plots and character quirks. You&#39;ll never guess what happens when you feed hot sauce to a T-Rex!<br><br>MAKE STORIES<br>The only rule in Aha World? THERE ARE NO RULES! Let your imagination run wild and record the silliest scenarios you can think of. Create your own interactive story: Rowdy raccoons play catch in the spa? Sure! A crazy crab goes surfing? Why not?!<br><br>KEY FEATURES<br>- Regular updates with amazing new locations, outfits, and accessories!<br>- No internet? No problem! Aha World is one big offline game!<br>- Lots of free locations and more in the Store<br><br>About Us<br>We make apps and learning games for kids and teens that parents love! Our range of products lets kids of all ages learn, grow, and play. Check out our Developers Page to see more.<br><br>Contact us: hello@ahaworld.com","https://play-lh.googleusercontent.com/lK888vc4XMxbzc73SLUxpay2OmRIP7BfTUD3pb4Gx3NQU-NLvt_zEiCzDRdHfDfSQKg9","GAME_EDUCATIONAL"
"Baby Princess Mermaid Phone","com.happytap.mermaidphone","<b>The exciting Baby Princess Mermaid game is a fun experience for kids, explore the magical underwater world with super fun activities with the baby princess mermaid!</b> It is an underwater baby phone simulator that will allow you to play in the world of Mermaid princess.<br><br><b>Features:</b><br><br>- You can talk and chat with the cute little princess, Billy the Crab, and Oscar the Octopus.<br>- Colorful, Fun, and Baby-Friendly interactive game.<br>- Enjoy Wash, dry, comb, color, put accessories, and more with Princess hair salon activities<br>- Makeover princess game, with fun spa activities and royal gorgeous makeup options for the princess.<br>- Pet doctor to take good care of your underwater virtual pets.<br>- Creativity-enhancing games for pre-school kids Beautiful princess coloring pages with tons of coloring options to fill up in Cake, Mermaid, Ice cream, Castle, and cute unicornfish.<br>- Fun cooking bake &amp; decorate mermaid princess cupcakes and delicious Narwhal Donuts<br>- It is the ultimate game with many colors and attractive animations to keep your child and baby entertained.<br>- Explore a colorful underwater world with fun mini-games<br>- Cognitive development learning games such as Ocean Jigsaw puzzles, princess spot the difference, and underwater puzzle games.<br>- Sailing adventure activities like defeating the sea monsters by using cannonballs<br>- Dodge the fruit bombs and defeat the Crocodile pirate<br>- Classic kids&#39; pinball fun<br>- Go on an exciting ocean adventure with a baby princess mermaid and find the stars<br><br><b>Try this game now and experience beautiful underwater baby princess mermaid activities with an incredible baby phone simulator!</b>","https://play-lh.googleusercontent.com/s8gALhN_Z8HuLnIUfA2TgpTLSKme-iSZNiqdrkiwpqkLLt9c005OvS7X3w4MkDPznaQH","GAME_EDUCATIONAL"
"Fluvsies - A Fluff to Luv","com.tutotoons.app.fluvsies.free","Animal and pet lovers, step into the magical world of super cute Fluvsies! Here, you&#39;ll find fluffy virtual creatures, the sweetest companions you can collect, nurture, and play cute games with! Join in, hatch eggs, take care of fluffy pet babies, and let the endless fun of animal games begin! <br><br>🐣 <b>HATCH &amp; CARE</b><br>Hatch every animal pet from a surprise egg! Just pop two cute Fluvsies into a magical merging machine, and voila – a brand-new egg is ready to hatch! Grow your virtual pet, care for him, and play cute games together! Prepare to fill the room with fluffy joy because you can hatch numerous adorable eggs!<br><br>🐼 <b>COLLECT ALL PETS</b><br>Did you know that Fluvsies have their own tiny pets? Collect all kinds of them: from cute bouncing pandas to adorable flying birdies! Each virtual pet is unique, and they love playing cute games with Fluvsies, so collect them all and let the fun begin!<br><br>🎉 <b>PLAY &amp; HAVE FUN</b><br>Explore new virtual places and find great toys to play with! Hatch, grow, and then watch every virtual pet bouncing around on an inflatable castle and jamming on cute musical instruments! Oh, and keep your eyes on magical boxes – they’re full of surprises and can&#39;t wait to be opened!<br><br>🍬 <b>ENJOY MINI-GAMES</b><br>Dive into a super fun world of cute games! Hop from cookie to cookie to collect coins! Make your animal fly and swim! Find and unlock every hidden virtual pet! Cute Fluvsies want to play these and many more games with you, so hatch eggs and have fun with every animal!<br><br>🎀 <b>VISIT FASHION SALONS</b><br>Your virtual pet wants to look stylish! Discover an amazing collection of fashionable items and cute animal accessories that will turn your Fluvsies into real pet fashionistas. But wait, there&#39;s more! You can get creative with adorable animal face painting designs too! <br><br>🎡 <b>DISCOVER NEW AREAS</b><br>The magical and fluffy world of Fluvsies is full of incredible places! Your virtual pet can play games in the beach zone, cute garden, animal toy shop, and the purr-fect cat playground. Explore these areas, find cool toys, and play with every fluffy and cute virtual pet!<br><br>- - - - - - - - - - - - - - - - - - - - - - - -<br><br>About TutoTOONS Cute Games for Kids<br>Crafted and play-tested with kids and toddlers, TutoTOONS games foster kids’ creativity and help them learn while playing the cute games they love. Fun and educational TutoTOONS games strive to bring meaningful and safe mobile experiences to millions of children worldwide.<br><br>Important Message to Parents<br>This app is free to download and play, but there may be certain in-game items that can be purchased for real money. By downloading this app you agree to TutoTOONS Privacy Policy and Terms of Use.<br><br>Discover More Fun with TutoTOONS!<br>· Subscribe to our YouTube channel: https://www.youtube.com/@TutoTOONS<br>· Learn more about us: https://tutotoons.com<br>· Read our blog: https://blog.tutotoons.com<br>· Like us on Facebook: https://www.facebook.com/tutotoons<br>· Follow us on Instagram: https://www.instagram.com/tutotoons/","https://play-lh.googleusercontent.com/8NVmNs2VNq25eDfjKaecjxOPzCq_dM0v-C9cuZGnonZanSIIPNer9cBigLjM7gEyYYUV","GAME_EDUCATIONAL"
"L.O.L. Surprise! Disco House","com.tutotoons.app.lolsurprisediscohouse","Calling all BBs to play! L.O.L. Surprise! Disco House is full of games and surprises! Unbox L.O.L. Surprise! dolls, grow your collection of virtual dolls and play with pets!<br>                                                <br>COLLECT L.O.L. SURPRISE! DOLLS<br>                                                <br>Collect and unbox all L.O.L. Surprise! dolls - each of them unique and fabulous, cute but fierce! Find clues, play cool mini games, collect diamonds and get new L.O.L. Surprise! balls to unbox - expand your collection and have fun with BBs in the dollhouse!<br>                                                <br>DRESS UP AND TAKE CUTE PICTURES<br>                                                <br>Pick from BB&#39;s favorite themes and dress up your L.O.L. Surprise! dolls! Choose cute hairstyles and totally awesome outfits to surprise friends! Strike a pose to take a picture, decorate with cool stickers, and pop into the Super Star photo album. Fun!<br><br>PLAY WITH PETS                                <br>Adorable pets are ready to join the party. Unbox all the dolls, collect all the stylish puppies and kitties and let&#39;s take a selfie!<br>                                                <br>CREATE YOUR STORY<br>                                                <br>L.O.L. Surprise! dolls love to dance, chat, and take cool selfies. They speak in emojis so you can interpret what they say - imagine the story and choose what the dolls will do next! Have fun and shine together with BBs!<br>                                                <br>PLAY FUN MINI GAMES                <br>                                        <br>How well do you know the L.O.L. Surprise! world? Test your knowledge with B.B. Wood Squares! Explore cool mini games - look for stylish clothes, dance at a fun disco party, jump with pets, dress up BBs, and color cute pictures to decorate the house with!        <br>                                <br>L.O.L. Surprise! is a registered trademark of MGA Entertainment, Inc. and is used under license. TutoTOONS Limited is solely responsible for all liability associated with the use of this app. Contact TutoTOONS Limited if you have any questions or complaints.<br><br>- - - - - - - - - - - - - - - - - - - - - - - - <br><br>About TutoTOONS Games for Kids<br>Crafted and play-tested with kids and toddlers, TutoTOONS games foster kids’ creativity and help them learn while playing the games they love. Fun and educational TutoTOONS games strive to bring meaningful and safe mobile experiences to millions of children worldwide.<br><br>Important Message to Parents<br>This app is free to download and play, but there may be certain in-game items that can be purchased for real money. By downloading this app you agree to TutoTOONS Privacy Policy and Terms of Use.<br><br>Want to report an issue or share suggestions? Contact us at support@tutotoons.com<br><br>Discover More Fun with TutoTOONS!<br>· Subscribe to our YouTube channel: https://www.youtube.com/@TutoTOONS<br>· Learn more about us: https://tutotoons.com<br>· Read our blog: https://blog.tutotoons.com<br>· Like us on Facebook: https://www.facebook.com/tutotoons<br>· Follow us on Instagram: https://www.instagram.com/tutotoons/","https://play-lh.googleusercontent.com/6RVtcn1F_rp9-zFqlt122d718OE9FNskt3IkAu2gf8BUSt7CvhQ3CLkdPAXRInYobGs","GAME_EDUCATIONAL"
"Loomi World: Your Avatar Life","com.mcmnw.lzg","Embark on a delightful journey into Loomi World where charming aesthetics meet boundless possibilities! Immerse yourself in a world filled with cute characters, vibrant schools, bustling city districts, serene beaches, and charming suburbs. Design and decorate your own spaces, create unique characters, and immerse yourself in a world of exploration and creativity.<br><br>Key Features:<br><br>🌈 Create Your Own Haven: Build and decorate your dream home in various areas like schools, downtown, seaside, and suburbs. Personalize every corner to reflect your style and creativity.<br><br>👭 Design Your Cute Avatar: Unleash your inner designer by crafting and customizing adorable characters. Choose from a plethora of cute outfits and accessories to create a one-of-a-kind look.<br><br>🏡 Build Your World: Construct houses, schools, and structures to shape your vibrant city in Loomi World. Your choices influence the growth and charm of the entire cityscape.<br><br>🎁 Gifts and Collections: Collect special items and surprises to enhance your avatar&#39;s experience. Share gifts with friends, and build a delightful collection that narrates your Loomi World story.<br><br>👗 Salon of Style: Transform your avatar in the designer&#39;s salon with a variety of cute clothing options. Dive into the world of fashion and express your unique style.<br><br>👫 Educational Discovery: Learn new skills and knowledge in an educational yet entertaining environment. Loomi World provides a playful space for kids and girls to experience the joy of learning.<br><br>🎭 Role-Playing Adventures: Engage in role-playing activities, make friends, and embark on exciting adventures with your customized cute characters.<br><br>Gameplay Overview:<br>In Loomi World, you are the creator of your destiny. Explore adorable landscapes, design charming homes, and nurture your cute avatars&#39; lives in a world that encourages creativity, learning, and friendship.<br><br>Download &quot;Loomi World: Your Avatar Life&quot; now, and let the adventure begin!","https://play-lh.googleusercontent.com/mWZkL_2QnxcmtAOv6wDcRza6LGbG5ReS79O-aD29oAe1WNq8BqlVF8tLavtjoTxsQg","GAME_EDUCATIONAL"
