Game Name,Package Name,Description,Icon URL,Category
"Magic Tiles 3","com.youmusic.magictiles","Do you love music games and playing along to your favorite songs on piano tiles?<br><br>Magic Tiles 3 is the perfect choice for you! This game is the ultimate experience in music games, combining the best elements of magic piano games, rhythm game, and song games to create a truly immersive and enjoyable gameplay experience. With its engaging gameplay and wide selection of songs, it is sure to become one of your all-time favorite music games. In Magic Tiles 3, you’ll find a wide variety of music styles to choose from, including classic piano songs, pop, edm, hip-hop, and more. With this music game, you can experience the thrill of playing along to your favorite tunes on the magic piano tiles, all while challenging your reflexes and hand-eye coordination. <br><br>How to play:<br><br>Welcome to Magic Tiles 3,  the music game isn’t just about the music - it’s also about the challenge. As you play this music piano game, you’ll need to tap tiles in time with the music, all while avoiding the white tiles. It’s a test of skill and reflexes that will keep you coming back for more. If you’re looking for a fun and challenging way to test your coordination skills while indulging in your love for music, then Magic Tiles 3 is the perfect music piano game for you!<br><br>Feature:<br><br>1. Magic Tiles 3 features 45,000+ songs, as well as colorful graphics that will keep you entertained for hours on end. This addictive piano game offers a unique and satisfying experience for music lovers. Music games enthusiasts alike will love it. It’s no wonder that Magic Tiles 3 is one of the most popular music games around.<br><br>2. With Magic Tiles 3, you’ll never run out of new challenges to explore! This music piano game features a wide variety of levels, each with its own catchy hit songs and unique gameplay mechanics. Whether you tap piano tiles along or explore new levels, there’s always something new and exciting waiting for you. And with gifts waiting for you at the end of each level, the fun never stops! <br><br>3. Magic Tiles 3 is a music game that offers not only a wide selection of songs and engaging gameplay, but also a well-designed online mode. This allows you to connect with numerous players from all over the world and even invite your friends to join you in a beat battle. With its challenging levels and addictive gameplay, this game provides an excellent opportunity to compete with other players in beat battle and see who excels.<br><br>So why wait? Download Magic Tiles 3 today and start playing one of the popular music piano games around! With its addictive gameplay, catchy songs, and challenging levels, it’s the perfect way to pass the time and have some fun. So come on - let’s play Magic Tiles 3 and experience the combination of song game and rhythm game in one addictive package!<br><br><b>Support: <b><br>Are you having any problems? Send an email to: magictiles3.support@amanotes.com or contact us in the game by going to Settings &gt; FAQ and Support.<br><br>Terms of use: https://www.amanotes.com/terms-and-conditions/<br>Privacy Policy: https://www.amanotes.com/privacy-policy/</b></b>","https://play-lh.googleusercontent.com/5hF9MK9UFqcgUbX-1CKvmnTOt-XchFt6L5CK9FtEWIdPV2vYfFyqAdl73Kg5nSkDTKE","GAME_MUSIC"
"Beat Battle Full Mod Fight","com.happy.game.beat.music.fight.android","Full weeks and many MODs are here!<br><br>A new free music rhythm game. Various types of songs and well-made Musical score is continuously update. <br><br>How to play<br>1.Tap the note as it reaches scoring area.<br>2. Try to challenge harder songs. <br><br>Game Features<br>1.Variou of songs, play anytime as you want.<br>2.Different difficulty makes more choice, choose the difficulty that you like the most!<br>3.Use high quality music source and musical score, make your game experience better.<br>4.Various songs updating weekly<br><br>Install right now and enjoy it!<br><br>Beat Battle is a music game from Jingmao Tec. Contact us by Google Play or email below. We&#39;re looking forward to your game feedback to improve our game!<br><br>Feedback<br>beatrun11e@gmail.com","https://play-lh.googleusercontent.com/TkxKy8GoU55r9H7kQPl_y4-7f-IB8gNiod2cfIidUESjMuqc21VuTU3WYvXFLtaHeOOE","GAME_MUSIC"
"Dreameow Tiles","com.musicdreamtiles.pianogame","<b><h2>Tap Piano Tiles, Tap The Beat, Listen your favorite music!</h2></b> <br>Looking for a piano tile game to challenge your finger speed? 🎶<br><br>Dreameow Tiles is designed for music lovers. The game includes songs from the world&#39;s leaderboards, songs you are listening. K-Pop, EDM, Classical… All genres you are looking for. <br><br>Play your favorite songs with tones of tile skins, Tape and capture the rhythm. Dreameow Tiles will transport you to a world of fun and excitement.<br><br><b><h2>Light, Relaxing design</h2></b><br>🎹 At home, on the sofa. At School on the break. Everywhere you like, simply open your game and pick a song to start. Enjoy the beat on your break time. Listen the songs you love and feel the fun.<br><br>😍<b>CUTENESS OVERLOAD</b><br>Cute songs with cute styles, you can choose the one that suits your mood best.Whether you&#39;re into classical, pop, or rock music, you&#39;ll find a piano style and theme that&#39;s perfect for you.<br><br>Rule of the game :<br>1. Tap, hold, and swipe the tiles<br>2. Don`t miss the tiles<br>3. Endless mode: Expect to speed up each rounds<br><br>Game features:<br>1. Tones of song: Appealing, modern, and diverse music genres to satisfy your taste! We have free songs waiting for you to conquer.<br>2. Battle mode: Connect with  players worldwide. You can also invite your friends to play!<br>3. Unique theme design: Beside what we offered, you can upload your own picture!<br><br>So what are you waiting for? One of the most exciting beats and tile piano games of 2023 is awaiting you.","https://play-lh.googleusercontent.com/Antf2wK7iroU1p2lkVCCNMDt6aFcynFyOodo_SvlV_zNlkLSudl3D4qhJ-WkJvOCpSE","GAME_MUSIC"
"Dream Hop","com.dream.hop.jump.ball.music.free","Classic gameplay combined with meticulously designed 3D game scenes brings you an extraordinary experience like a live concert. <br>Come and try how far you can jump!<br><br>How to play:<br>- Tiles appear with music.<br>- Use your finger to control. Hold &amp; drag to move characters.<br>- Try not to miss any tiles to keep the game going.<br>- Enjoy addictive challenges and beats designed for each song.<br><br>Game Features:<br>- Amounts of songs to satisfy different tastes! Enjoy the DJ and Hop music, relax in epic music!<br>- Scene changes give you an immersive experience.<br>- Various characters are being continuously updated...<br><br>The rest:<br>Privacy Policy! https://sites.google.com/view/privacypolicy-dreamhop<br>Terms of Service! https://sites.google.com/view/dreamhop-tos<br>Contact us! remastergamestudio@gmail.com","https://play-lh.googleusercontent.com/6SuZWEDZzF6CEmMyxu9ZYWXTpQVoG2t3oA2gFaK3xnXWo0uOFIuBS_LGpVgTatL---8","GAME_MUSIC"
"Tiles Hop: EDM Rush","com.amanotes.beathopper","Play Tiles Hop: EDM Rush and have a fun music games playing time! Are you a fan of music games genre that challenge your skills with thousands of songs? Look no further than Tiles Hop - the ultimate among music games! Tiles Hop is sure to become your new favorite song games of all time. It&#39;s easy, just drag you ball to jump and hop on music tiles. Download this ultimate music games. Remember, hop ball to music tiles, don&#39;t fall. This is a combination of music games, song game and ball game.<br><br>Welcome to Tiles Hop, the ultimate music games experience that combines the best of music games and song games. Tiles Hop is one of the music games that offer the perfect way to test your coordination skills and satisfy your love for music at the same time. Hip hop fans and music games enthusiasts alike will love Tiles Hop, the addictive music games that will keep you entertained for hours on end. With its catchy EDM tracks, hiphop tracks and colorful graphics, this game is one of the most popular song games around. <br><br>One of the standout features of Tiles Hop is its hip hop-inspired beats. The music is sure to get you grooving as you hop from tiles to tiles. And with music tiles that light up with every beat of top hiphop song, you&#39;ll feel like you&#39;re part of the music. This ultimate music games is perfect for anyone who loves EDM, hip hop, and other genres of music.<br><br>But what really makes Tiles Hop stand out is its ball hop gameplay mechanic. You control a ball hop from tiles to tiles, collecting points and unlocking new levels, unlock new songs. The game is designed to test your reflexes and coordination, making it the perfect way to kill time on the train or just unwind after a long day.<br><br>What&#39;s more, Tiles Hop has a vast array of levels to explore, each with its own catchy top song hiphop and unique ball hop gameplay mechanics. You&#39;ll never get bored with this game, and there&#39;s always a new challenge waiting for you around every corner. Hopping to the end of the dancing road and the gifts are await for you.<br>If you&#39;re a fan of music games genre, or song games genre, then you owe it to yourself to download Tiles Hop today. With its addictive ball hop gameplay, hip hop beats, and magic music tiles, this music games is sure to become your new go-to for fun and entertainment. So what are you waiting for? Download Tiles Hop now and experience the best of music games and ball games in one addictive package!","https://play-lh.googleusercontent.com/uA2SPkUUN4feau4S-JtJrxjTfjQ7s5_9vTA2dj1ECSPQy_GrQXGzSp_PH0eTibmymsM","GAME_MUSIC"
"Cyber Music Rush","com.pianonbeat.rhythm","<b><h1>MUSIC GAME WITH PIANO TAPPING, RHYTHM, BEATS &amp; REAL MUSIC</h1></b> <br>Are you looking for a new music game with tap gameplay and real music?<br>Wanna play a music game with cool drumbeats, guitar strings and other music instruments more than piano?<br><br>Meet <font color=""”red”"">Cyber Music Rush</font> which is a free piano game that combines hyper-casual gaming with music. Feel positive vibes when you tap through the music tiles of the piano game and uplift your mood with some funky tunes. Complete all levels with all 3 stars by tapping the tiles of the piano music game at the right moment.<br><br><b><h2>FEEL THE MUSIC NOTES WHILE TAPPING</h2></b><br>In this piano player game, you need to tap on the right music tiles without touching anything wrong. If you misplace your taps, you will lose one of the 3 lives you have for all levels. Show that you can follow the piano melody and pass all levels in one of the best piano games with real songs.<br><br> <b>UNIQUE MELODIES AND POPULAR SONGS</b><br>The beautiful piano game features mesmerizing EDM-inspired graphics and upbeat music. In this fun piano game for kids and adults, there are many famous reworks included. But unlike most piano games where there is a combo of piano and EDM, here there are also realistic drums and other instruments.<br><br><b>UNLOCK NEW SONGS</b><br>Collect stars with quick tapping after you successfully complete levels in the instrument rhythm game. Use them to unlock new packs of interesting songs that will play in the rhythm of the EDM game.<br><br> <font color=""”blue”"">TAP PIANO GAME FEATURES: </font><br>- simple tap gameplay<br>- piano, drums, instrument game <br>- tap in the best spot at the right moment for extra points<br>- collect stars to unlock new song packs<br>- play the piano game online or offline (fun game for your travel, commute time, or anywhere where internet/mobile data is not available)<br><br>Now don’t miss one of the best EDM music games of 2022! <br><br><b>Download Edm Music &amp; Piano Game for FREE</b><br><br><br>------------------------<br><u>REACH OUT</u> <br>- If some of the songs, labels, or images in our melody game are a subject of a dispute, don’t hesitate to contact us","https://play-lh.googleusercontent.com/rwWGW-BxoB01QK7zSeyr3DhOlyf4wG7_wwe51e4e3RhOLDtYHBVNkuqPW9zrfMymbw","GAME_MUSIC"
"Piano Star","com.piano.tiles.music.game.circles.dancing.beat.magictiles","Follow the rhythm! PIANO STAR is an amazing music game with lots of popular POP songs and Classical Piano songs.<br><br>Tap the black tiles! You can easily perform a piano music by yourself. With fun and ease, melody and rhythm of piano songs will flow freely by your fingers.<br><br># How to play:<br>1. Tap the black tiles.<br>2. Tap and hold on the long tiles.<br>3. Tap double black tiles quickly.<br>4. Don&#39;t miss any tiles.<br><br># Features:<br>1. New piano songs are added every week.<br>2. Let‘s play Endless mode.<br>3. PVP and offline modes have been provided.<br>4. Lots of free coins for unlocking new songs.<br><br>Hope you enjoy Piano Star! Don’t forget to update it for new piano songs.<br><br>Try it now! It&#39;s time to BE A PIANIST!<br><br>If any producer or label has an issue with any of the music used in the game, please send email to us and it will be deleted immediately if necessary (this includes the images used).<br><br>Contact us:<br>Are you having problems? Send an email to contact@potatogamesstudio.com","https://play-lh.googleusercontent.com/fowL8o1DF15t2_X26cBYAAYc-zqf1A1dSHfUROIKRR5-9zF7_QMb6kSAr2aciF7GQg","GAME_MUSIC"
"My Singing Monsters","com.bigbluebubble.singingmonsters.full","<b>Welcome to My Singing Monsters! Breed them, feed them, listen to them sing!</b><br><br>Raise a monster pet, then feed your musical monster to help them grow. Take care of a collection of fun monster characters in this free musical game for the whole family!<br><br>Create an island full of Singing Monsters, then watch your song evolve as you breed and upgrade happy monster pets. Design and build unique decorations to make your world look just the way you want, then share your creation with friends! You&#39;ll love exploring the wonderful fantasy land of the Monster World!<br><br>Download My Singing Monsters today — Happy Monstering!<br><br><b>FEATURES:</b><br><i>• Collect and level up over 150 cute and funny monsters — dragons are so last year…<br>• Customize your islands with cool decorations and catchy music<br>• Enjoy awesome graphics and character animation<br>• Play with friends around the world<br>• Discover new updates and events year-round</i><br>________<br><br><b>STAY TUNED:</b><br><i>Facebook:</i> https://www.facebook.com/MySingingMonsters<br><i>Twitter:</i> https://www.twitter.com/SingingMonsters<br><i>Instagram:</i> https://www.instagram.com/mysingingmonsters<br><i>YouTube:</i> https://www.youtube.com/mysingingmonsters<br><br><b>PLEASE NOTE!</b> My Singing Monsters is completely free to play, however some game items can also be purchased for real money. If you don&#39;t want to use this feature, please disable in-app purchases in your device&#39;s settings. My Singing Monsters requires an internet connection to play (3G or WiFi).<br><br><b>HELP &amp; SUPPORT:</b> Get in touch with the Monster-Handlers by visiting www.bigbluebubble.com/support or contacting us in game by going to Options &gt; Support.","https://play-lh.googleusercontent.com/GR6KDIyH7oaG4mFEOfGY9iKHiDl-VLPETlKtny12m0jgn3I5_zX8dh8qsbRu3ZWBtg","GAME_MUSIC"
"Dream Circles Dash","com.magic.space.dancing.tiles.music.color.smash.game","<b>SMASH THE CIRCLE AND KEEP THE RHYTHM IN A NEW MUSIC GAME</b> <br>Do you love the rhythm and action of the music ball games? 🔵🎶<br>Are you ready for a new exhilarating adventure that combines the thrill of dash and smash gaming with the magic of music? <br><br>Look no further than the <b>Dream Circles Dash</b> game, the ultimate color smash rhythm music game that promises to keep your heart racing to the beat! Hold and drag the music ball and enroll in some satisfying levels as you crush and get inspired by some awesome music!<br><br><b><h2>SURFING COLOR DASH AND SMASH MUSIC RHYTHM ACTION</h2></b><br>🏄 Dream Circles Dash is all about keeping up with the rhythm. Dash and smash those same color circles as they pop up on your screen, creating a mesmerizing visual and auditory experience.<br><br>🎼<b>Enormous Music Library</b><br>Immerse yourself in a vast selection of music and songs spanning various genres from hip hop to EDM. No matter your musical taste, you&#39;ll find something to groove to in our color dash music ball game.<br><br>👆<b>Simple Controls</b><br>Get into the ball swing rhythm with ease on the dancing road with our casual and musical game. Hold and drag the music ball to crash into circles of the same color, all while enjoying a smooth and intuitive gaming experience.<br><br>💥<b>Exciting Challenges</b><br>The magic music game&#39;s addictive challenges ensure that boredom remains a distant memory. There&#39;s always a new test to conquer, promising hours of entertainment.<br><br>💨<b>Make Combos</b><br>Increase your excitement by making combos for more points. Push your skills to the limit and achieve a high score like never before.<br><br>🔺<b>Satisfying Sceneries</b><br>Dream Circles Dash features a myriad of fun abstract geometry scenes that&#39;ll keep your eyes dazzled as you dash through the game.<br><br><h3>DREAM CIRCLES DASH GAME FEATURES:</h3><br>● color smash rhythm music game<br>● dash and smash the same color circles<br>● large variety of music and songs<br>● easy controls: hold and drag the music ball to crash the circles<br>● addictive challenges to never get bored<br>● make combos for more points<br>● tons of fun abstract geometry scenes<br><br>Dream Circles Dash runner and surfer is a high-speed, color-filled musical experience that&#39;ll have you coming back for more. <br><br>Are you up for the music dash, hop, and smash challenge in this music surfer game? <br><br>➡️<b>Download now and dash to the rhythm, smashing circles and enjoying an adrenaline-pumping ride through this captivating musical world!</b> 🎵","https://play-lh.googleusercontent.com/fp5qO3gIqv4fNuZJYSigQhYTdkuoewmWU4RrDGCkJJE5dlWZ9GN2OE55OZYrqFA9V2w","GAME_MUSIC"
"Piano Magic Star 4: Music Game","com.pem.pianomagictiles","Follow the rhythm! Piano Magic Star 4 is a relaxing music game with amazing music style as Pop, Classic Piano, T-pop, K-pop, J-pop, EDM, Hip-Hop, R&amp;B, etc. A piano star tap music tiles game for all generations. Kid or adult, all can play this game for relaxing times with trendy and pop music. <br><br>Tap the black tiles! You can easily perform a song by yourself. With fun and ease, melody and rhythm of piano songs will flow freely by your fingers.<br>It&#39;s also a nice choice to test your hand-speed!<br><br>✌️How to play:<br>1. Tap the black tiles.<br>2. Tap and hold on the long tiles.<br>3. Tap double black tiles quickly.<br>4. Don&#39;t miss any tiles.<br><br>✌️ Features:<br>1. New hot songs are added every week.<br>2. Endless mode available<br>3. PVP and offline modes will be provided soon.<br>4. Free to play and unlock new songs easily<br><br><br>If any producer or label has an issue with any of the music used in the game, please send email to us and it will be deleted immediately if necessary (this includes the images used).<br><br>Contact us:<br>Are you having problems? Send an email to pemgames2023@gmail.com","https://play-lh.googleusercontent.com/A90Lg8ZNxZSoSwhC8aNqoxrzO-16CiIuFgOsScLqQZomJ9upsGF-Wfy219QhBC7aW7up","GAME_MUSIC"
