Game Name,Package Name,Description,Icon URL,Category
"Race Master 3D - Car Racing","com.easygames.race","<b>🏎️  Race Master 3D – Fast, furious and super-fun racing  </b><br><br>Keep your finger to the floor and be ready for absolutely anything in this ridiculously entertaining mobile racing game where you really never know what’s around the next corner. Fine tune your ride, keep your foot on the gas, dodge the endlessly varied obstacles, and try to keep out the way of your equally manic rivals in super-fast, super-exciting, psychedelic races that always offer something new and unexpected. Feel the need for speed? <br><br><i>You’ll get speed, drama, awesome cars and a whole lot more in this addictive casual driving game that’s as intuitive as it is outrageous.</i><br><br>🏁 <b>TO GET YOUR PULSE RACING…</b> 🏁 <br><br>🥇 Hard to keep track: 33 unique levels with a huge range of different surfaces and obstacles to race over and around at breakneck speed. Plus 8 different bosses in specially tricked out cars ready to make your ride even more hair-raising.<br><br>🥇Racing all over the world: 7 different locations with different track characteristics and richly detailed backdrops, decorated with ramps and tunnels with 14 different neon illumination designs, ensuring there’s always something to look at out the window.<br><br>🥇What’s in your garage? 7 classic sports cars to collect and customize as you race through the levels in the game. Place high in every race to earn more cash, tune your car’s engine for ultimate speed, acceleration and handling, add exciting accessories and choose between 15 different paint jobs to really pimp your ride.<br><br>🥇 Hear me roar: who needs music when you have the roar of high-performance engines, the screech of tires and the crunch of colliding metal? Enjoy the rich sound world of Race Master 3D alongside simple but striking graphics and spectacular crash effects that’ll shake your bones every time you come spinning off the track or grind to a thudding halt.<br><br>🔥 <b>THE ULTIMATE POCKET RACER…</b> 🔥<br><br>Looking for a racing game that’s easy to play, provides a real driving challenge, and offers excitement and endless variation, cools cars and dangerous rivals, all in fast and furious races that can be run in a matter of minutes? <br><br>Keep Race Master 3D in your pocket and you’ll have instant access to awesome driving thrills anytime, any place and anywhere, trying again and again to reach the podium despite a series of increasingly surreal and testing obstacles that come rushing at you down the track in a crazy, colorful whirl.<br><u>Download now to find out if you can be the master of the track in the wackiest, wildest, winningest mobile racing game available.</u><br><br>Privacy Policy: https://say.games/privacy-policy<br>Terms of Use: https://say.games/terms-of-use","https://play-lh.googleusercontent.com/7x4TWM86ezxXupWVUj8Ta93eqzJt6eYUWkmbTgdSx5IDCPBstDN-59C1ewyLGMoxNno","GAME_RACING"
"Traffic Driving Car Simulator","com.bc23.traffic.car.driving.city.game3D","Traffic Driving Car Simulator is where you can experience real-life highway road with bunch of vehicles. Complete mission and earn money to upgrade your car collection. Be a professional driver and be a survivor on the deadly road.<br><br>Traffic Driving is created to bring people a mind-blowing experience with the latest-updated technology, magnificient 3D graphics, fast and furious driving moment and the most modern cars.  Drive your car in the endless highway roads overtaken by the crowded traffic and become the leader on the worldwide leaderboards.<br><br>Traffic Driving key features: <br>- Third-person gameplay: Give you a broader view to the whole picture of the road so that you can easily dodge everything. <br>- Can not dodge others? Then crash them: Unlike similar titiles, this game provides players a feature to destroy other vehicles on the road to earn more points and money.<br>- Nitro use: Going beyond the limit with the nitro boost <br>- More cars: A wide collections of cars from the sports to the classic is waiting for you to use and become the highway god.<br>- Detailed and different game maps: Random maps every level with day and night variation in the city or in the surbub.<br>- Multiple events: Enjoy various in-game events &amp; don’t forget to check lots of other modes for a fresh twist on racing. Win top prizes in the Championship. Racing in over 100 city maps. <br>- Stunning graphics: We have tried our best to bring to you the most realistic 3D graphics for a speed driving experience. We also provide you unique HD 3D graphics features detailed car damage, fully functional rearview mirrors, and dynamic reflections for truly HD racing.<br>- Impressive sound: Qualified and realistic sound to provide the best gaming experience.<br><br>Join in a selection of breath-taking challenges and become the most outstanding traffice drivers on the roads. Millions of players over the world will fight for the top standings. Beat them and make your way up to the leaderboards rankings. Dodge the traffic, bang the car head, make remarkable drifts and complete the challenges to receive worthy rewards. <br><br><br>Traffic Driving helps you be a professional driver that can conquer any road you join.<br><br>Our game is free but ads are supported. If you have any complains, please read our policy or reach out to us for more information.","https://play-lh.googleusercontent.com/-ik7WULAm1bPMVB9v6vQnrxN-S1XH1cFB67jCwrxRyhjUUddxSxVgBLuDymHAsxL0irD","GAME_RACING"
"Traffic Bike Driving Simulator","com.bc08.traffic.bike.driving.simulator","Get ready for the awesome and most amazing extreme bike games. Let’s start racing in this highway moto game like a crazy stunt bike racing game racer and defeat your rivals by performing well in highway moto games. <br>Enjoy amazing stunts on dangerous and impossible tracks of this thrilling bike riding game. <br>Break the speed limit and do dare to drive as fast as you can to have unlimited fun in bike riding games. <br>Control your motorbike in bike simulator games and play with the speed so that you can become the number one rider in city bike games.<br>Features:<br>- Choose from the fastest high-performance motorcycles!<br>- Enjoy extreme 3D visuals!<br>- Prove your skills in hardcore challenges!<br>- Upgrade your speed, breaking level and add extra lives!<br>- Select your favorite motorbike category: chopper, cross or superbike!<br>- Make near traffic misses discovering 4 unique locations: Suburbs, Desert, Snow and Night City<br>- Discover plenty of bike tuning options!","https://play-lh.googleusercontent.com/Tz4oi4mOl_rYl2klksvGdjTXn20YEAFadnFfBJhB9-zsCRSci2fiM8mEl2rpel4didE","GAME_RACING"
"Real Car Driving: Race City 3D","com.v06.car.driving.mega.city","!!! Burn the asphalt of this open world city!<br><br>Game Features:<br>- Mini game checkpoint mode<br>- Drive with traffic<br>- Realistic car damage. Crash your car!<br>- Full real HUD including revs, gear and speed<br>- ABS, TC and ESP simulation. You can also turn them off!<br>- Accurate physics<br>- Several different cameras<br><br>Control your car with a steering wheel, accelerometer or arrows<br><br>Be a furious racer on a whole city for you. No need to brake because of traffic or racing other rival vehicles, so you can perform illegal stunt actions and run full speed without the police chasing you!","https://play-lh.googleusercontent.com/GndNPFFNCw0E8Smgig2exBlateC_7H94lQXSyDrRmwPNWBwxuwK7uM8U1yaQCZGbQgs","GAME_RACING"
"Car Race 3D: Car Racing","com.dino.race.master","Car Race 3D: Super-fun car racing game on mobile!<br><br>Are you looking for the thrill of driving luxury supercars, engaging in fast, furious and realistic driving experiences? Do you want to become a race master in the wackiest, winningest car game? Keep this addictive car game in your pocket and you&#39;ll get to experience everything you desire and never know what&#39;s coming next around the track&#39;s twists and turns.<br>Collect coins to unlock high-end vehicles, customize your own supercars, explore breathtaking environments, compete against top racers worldwide and time-limited events in this car racing game. Get your car prepped, fine tune your ride, keep your foot on the gas and race against other players from all over the world.<br><br>Be the race master in this amazing extreme car game!<br> <br>With this Car Race 3D game, you can:<br>- Experience many unique levels with a huge range of different surfaces and obstacles to race over and around at breakneck speed.<br>- Go head-to-head against top race master around the world in real-time challenges to get more rewards and coins for upgrades. <br>- Customize your dream supercars by selecting authentic engines, luxury add-ons, and bold designs.<br>- Explore special modes and take on exciting challenges to prove race master skills in the car game<br>- Enjoy outstanding 3D graphics and the rich sound world of Car Race 3D that make you feel like you&#39;re driving a real car racing, with supercar details, environments, and crash effects while playing the car game.<br><br>The perfect car racing game experience!<br><br>Do not miss out a racing game that’s easy to play, provides real driving challenges, and offers excitement and endless variation, cools cars and dangerous rivals, all in ultimate races that can be run in a matter of minutes.<br>Join the car game today to find out if you can become the race master of our most adventurous, amusing and challenging tracks!","https://play-lh.googleusercontent.com/nubEn3WHBWWDWNR9SjhtF56RCg_-kZNlKmnbI8XrcFlTEeUT8E-G0otXxkBlP7GQoOM","GAME_RACING"
"Earn to Die Rogue","com.notdoppler.earntodierogue","Drive cars through the zombie apocalypse and loot infested buildings in this action-packed roguelite Earn to Die spinoff!<br><br>The zombie apocalypse is more dangerous than ever. New zombie and enemy threats have emerged and will do anything to hunt you down. Loot for supplies, find and upgrade cars, and do whatever it takes to survive.<br><br><br>NEW ROGUELITE GAMEPLAY<br>Run and blast your way through zombie-infested buildings, earning power-ups and unlocking cars along the way. Collect loot to further upgrade and strengthen your hero!<br><br>ALL NEW CARS!<br>Uncover abandoned cars and upgrade them into zombie-smashing machines. New cars, trucks, a sports car and even a hovercraft await. Don’t forget to equip spiked-frames and roof-mounted guns. Those zombies won’t know what’s hit them!<br><br>ALL NEW LOCATIONS<br>Clear each building to unlock all new post-apocalyptic locations, including an arid desert, an overgrown city, and a snow-covered military bunker. Uncover new types of zombies, bosses, and other enemies to blast your way through.<br><br>EPIC ACTION<br>Enjoy crazy ragdoll physics as you send those undead creatures flying through the air. Time to armor-up and defeat those zombie hordes!<br><br>THE BIGGEST AND BEST EARN TO DIE YET<br>The zombies are after you and there’s no time to waste! What are you waiting for? Download now and blast your way to safety.","https://play-lh.googleusercontent.com/xzZyHJmuYvqEUTi7uwdsQggLyyafcmCmp-FeFKP1ODiiD1VMD3r7sP0UUW0XhduZ_Fs","GAME_RACING"
"Moto Rider, Bike Racing Game","com.ig.moto.racing","Ride Hard, Race Harder!<br>Start the engine, hit the gas and experience the thrill of handling a 200 HP beast with Moto Racing Bike Game. <br><br>REAL MOTO RACING EXPERIENCE<br><br>A motorcycle racing game that keeps you on the track, focuses on bike racing skills and experiences the intense bike racing action.<br>You compete for the highest scores by being fast and controlled, compare your skills to other racers and challenge them on different tracks of bike game. Watch the leaderboard and stay on top by beating others&#39; scores.<br><br>GLOBAL RANKING - THE BEST RACERS COMPETE<br><br>A global bike racing game contest that all riders dream of! Race against players around the world in modes based on the actual Championship. Experience super realism in the palm of your hand, release your bike racing game instincts, and break the limits of speed! Your skill and commitment will be recognized on the global leaderboards. You can customize your own bike and challenge your friends with the highest scores.<br><br>BIKE RACING GAME MAIN FEATURE<br><br>Experience the motorcycle racing game with unparalleled graphics:<br>- Real 3D graphics &amp; various camera angles<br>- Real motorcycle racing control: smooth physics and handling<br>- Detailed and exquisitely reproduced super sports motorcycle<br>- Realistic and vibrant racers movements<br>- Diversity bike racing game and motorcycle customizing<br>- Photorealistic bike and rider models<br>- Customizable bike game, gear, and outfits<br>- Leaderboards and achievements of motorcycle racers<br><br>Pedal to the Medal - Race to the Podium in this High-Speed Motorcycle Racing Game - Experience the most thrilling bike racing game on mobile.","https://play-lh.googleusercontent.com/tgGzJ_rz0opjM_N4mESLLSsjlDhbAlNvYHKx7ikM0Rr2eZhHs-KqtvkA7dMBzuN4OmCH","GAME_RACING"
"Driving Real Race City 3D","com.v02c.car.race.city.real.simulation","Bring fast driving experience to a whole new level! Incredible slim size, and support WiFi Multi-Player racing mode! Race the traffic! Be the king of street racing!<br><br>● Real Competition<br>Real cars, real tracks, real traffic racing with epic drift stunts. Climb up the leaderboards!<br><br>● Super Cars &amp; Easy Controls<br>Big surprise for free nice cars and the test drive! Easy controls and great car selection<br><br>● Car Upgrades &amp; Customize<br>Upgrade turbo engine, find the optimal tune for your car. Colorful paints and cool stickers<br><br>● WiFi Multi-Player Racing<br>#1 LAN Multi-Player Real-time Racing game on mobile!<br><br>● Global Rally Tour<br>Race around the worlds&#39; most bustling metropolis like Tokyo, Paris, Chicago, London, Macao, Cairo, Hawaii, Chengdu, Arizona<br><br>● Many Racing Modes<br>Include Career, Elimination Tournament, 1 Vs 1, Time Trial<br><br>Free Clash Racing in Driving Real Race City Master 3D!<br><br>We&#39;d appreciate to hear your suggestions and comments!","https://play-lh.googleusercontent.com/7aSp28XjnQUyaGVY2s_0xU_N_b0bkqay2beyOb8nqdfuzC0Ppg9lSazF9ddeSXm43A","GAME_RACING"
"Asphalt 8 - Car Racing Game","com.gameloft.android.ANMP.GloftA8HM","Part of Gameloft’s Asphalt franchise, Asphalt 8 offers an extensive collection of over 300 licensed cars and motorbikes, delivering action-packed races across 75+ tracks. Immerse yourself in the thrilling world of high-speed racing as you jump into the driver&#39;s seat.<br><br>Explore stunning scenarios and landscapes, ranging from the scorching Nevada Desert to the bustling streets of Tokyo. Compete against skilled racers, conquer exciting challenges, and engage in limited-time special racing events. Prepare your car for the ultimate test and unleash your drifting skills on the asphalt.<br><br>Licensed luxury cars and motorcycles<br>Luxury cars and motorcycles take center stage in Asphalt 8, with an impressive selection of top-tier vehicles from renowned manufacturers like Lamborghini, Bugatti, Porsche, and more. Experience the power of over 300 high-performance cars and motorcycles, alongside a wide variety of racing motorbikes. Customize and design your race cars and motorcycles to stand out from the crowd. Collect special-edition cars, explore diverse worlds and scenarios, all while perfecting your drifting technique.<br><br>Show your racing style<br>Showcase your unique racing style by unleashing your creativity and customizing your racer avatar. Mix and match clothes and accessories to craft a one-of-a-kind look that complements your car. Let your personality shine through as you dominate the racetrack.<br><br>Get airborne with Asphalt 8<br>Prepare for exhilarating gravity-defying action in Asphalt 8. Take your race to the skies as you hit ramps and perform breathtaking barrel rolls and 360° jumps. Compete against other racers or challenge yourself in single-player mode, executing daring mid-air maneuvers and stunts in your car or motorcycle to maximize your speed. Customize your controls and on-screen icons to suit your playstyle, ensuring victory in every race.<br><br>Endless content for speed enthusiasts<br>Fuel your racing passion with a constant stream of fresh content. Experience regular updates, unlock powerful car upgrades, and dominate the competitive circuit. Explore seasons, engage in live events, and discover unique game modes. Compete in limited-time Cups to win valuable prizes, including early access to the latest cars and motorbikes.<br><br>Multiplayer and single-player racing thrill<br>Immerse yourself in thrilling multiplayer and single-player races. Join the multiplayer community, compete in the World Series, and challenge skilled opponents. Earn points, unlock prizes, and feel the adrenaline in limited-time racing events and racing passes. Fight for victory and savor the intensity of each race.<br><br>_____________________________________________<br>Don&#39;t forget to follow us on social media:<br>Discord: https://gmlft.co/A8-dscrd<br>Facebook: https://gmlft.co/A8-Facebook<br>Twitter: https://gmlft.co/A8-Twitter<br>Instagram: https://gmlft.co/A8-Instagram<br>YouTube: https://gmlft.co/A8-YouTube<br><br>Visit our official site at http://gmlft.co/website_EN<br>Check out the new blog at http://gmlft.co/central<br><br>This app allows you to purchase virtual items within the app and may contain third-party advertisements that may redirect you to a third-party site.<br><br>Privacy Policy: http://www.gameloft.com/en/privacy-notice<br>Terms of Use: http://www.gameloft.com/en/conditions-of-use<br>End-User License Agreement: http://www.gameloft.com/en/eula","https://play-lh.googleusercontent.com/y1J3-OrqJIlezTtaung2sPOnHY9wS2hdJh26ADkwcc3kdZy4DTGyv94IN_YRvdKy0y4","GAME_RACING"
"Epic Race 3D – Parkour Game","com.gym.racegame","Welcome to the captivating and electrifying universe of Epic Race 3D, your ultimate playground where agility, speed, and strategy take center stage! Feel the adrenaline rush as you compete in an exhilarating race against three fierce rivals, all equally determined to secure the top spot before anyone else. The finish line is calling. Are you ready to rise to the challenge and join the race today?<br><br>Epic Race 3D is more than just a racing game. It&#39;s an immersive test of survival, speed, and sharp wits. The track is far from ordinary: brimming with countless obstacles that require split-second decision-making and razor-sharp reflexes. Stumble, and you might find yourself at the end of the line. But fear not, your key to victory isn&#39;t just sheer speed but the perfect timing and strategy. Navigate the treacherous path with a tap of your finger: hold to sprint, release to halt, and outmaneuver your opponents while dodging obstacles and leaping over hurdles to secure your claim to victory!<br><br>The game features numerous unique tracks, each offering a new challenge to conquer. No two races are the same: each course provides a different set of challenges, and each opponent brings a unique dynamic. With each progressing round, the stakes soar higher, the speed intensifies, and the competition gets fierce as the competitors are eliminated one by one, culminating in an electrifying final showdown between the last two racers.<br><br>Don&#39;t just watch from the sidelines: immerse yourself in the heart of the action. Plunge into the world of Epic Race 3D and become a part of the most unpredictable and dynamically challenging racing game available on Google Play. In this world of high-stakes racing, one misstep can dramatically alter the course of the game. Do you have enough courage, skill, and strategy to claim the number one spot? Show us what you&#39;ve got! Ignite your journey in Epic Race 3D today!","https://play-lh.googleusercontent.com/2Ztk5IiQ7C08XdmWQQZRURUAzdFnfkwWKIomDp1XxnK0F11zWW7oAr680ok6cglr4A","GAME_RACING"
