Game Name,Package Name,Description,Icon URL,Category
"Fishing Clash","com.tensquaregames.letsfish2","Have you ever had fish on your brain, but you couldn&#39;t go to your favorite fishing spots? Catching fish wasn’t fun enough in some casual fishing games? Play Fishing Clash – a free realistic fishing simulation game chosen by millions of anglers! <br><br>Fishing Clash mixes the best features of multiplayer fishing games: the realism of simulator games, the competitiveness of sports games &amp; the social aspect of fishing and hunting apps. It&#39;s like a fishing forecast app in the virtual world where every angler can compete with others. Offering various fishing spots worldwide, it&#39;s the most realistic multiplayer simulation game amongst free fishing games.<br><br><b>How to catch a fish in this fishing simulator?</b><br>• Launch the game.<br>• Tap the cast button in the bottom-right corner of the game.<br>• Keep tapping the strike button continuously to ensure the line tension indicator is in the top bar center.<br>• Enjoy the look of the fish on your hook!<br><br><b>What&#39;s next in Fishing Clash?</b><br>• Start catching more fish or win duels in pvp game mode.<br>• Take part in multiplayer challenges and championships.<br>• Win Lure Cards and upgrade them to level up and unlock new fishing spots!<br><br><b>A game with dozens of fisheries worldwide</b><br>From Florida Coast &amp; Kenai River to Lake Biwa, Galapagos &amp; Loch Ness – in this multiplayer simulation game, you can find a fishery almost everywhere globally and lots of different fish like bass, carp, trout, shark, and even some monster fish from the Deep Sea.<br><br><b>Fish smart</b><br>Collect lure cards like in CCG &amp; upgrade them to catch bigger fish! The greatest ones let you win competitive multiplayer games, master angler &amp; world cup tournaments – that&#39;s something you won&#39;t find neither in free fishing apps nor in the other multiplayer fishing games!<br><br><b>Real-time duels simulator</b><br>Feel the thrill of multiplayer games and play a fishing duel against other anglers. You need skills to catch a fish and brains and strategy to win duels. Master skills &amp; win every multiplayer fishing battle in the pvp game mode.<br><br><b>Take part in live events</b><br>Visit different fishing spots &amp; hunt for amazing rewards like new rods, Lure Cards, and skill tokens. Pass the fishing trial, challenge angry sharks, become a catfish hunter or a traveler catching the biggest fish on a few different fishing spots!<br><br><b>Join or create a clan</b><br>Although Fishing Clash is a simulator at its heart, it enables ways to socialize like in free fishing apps. Meet fellow anglers, exchange lure cards for different fishing spots &amp; work together for great rewards in multiplayer Clan Wars.<br><br><b>Catching fish with your skills</b><br>All fishing spots have their skill tree. Use skill tokens to unlock new skills and get bonuses to particular fish species, fish rarity, and more! Advance to fishing master league while competing in different pvp game modes.<br><br><b>Breathtaking fishing spots</b><br>Whether you prefer flick fishing, ice fishing, or trolling, you&#39;ll admire the look of all fishing points. Every fishery in Fishing Clash features beautiful 3D vistas and hand-crafted fish you&#39;ll love to see on your fishing hook. It&#39;s a realistic simulator, after all.<br><br><b>Regular, nice and new content!</b><br>New fish, new fishery, new rods – in this realistic simulator, you can find new content every week as there&#39;s no shortage of fish to catch!<br><br><b>A game you can’t miss in 2024</b><br>Whether you&#39;re a seasoned fish angler or casual multiplayer games fan, Fishing Clash is a great choice. With tens of fishing spots worldwide and hundreds of fish species, it offers one of the best experiences among free fishing games. Don&#39;t look for any other free simulator. DOWNLOAD NOW and catch the trophy fish, angler! Game on!","https://play-lh.googleusercontent.com/edBDw0Tk_Fw_VTH9pHLo2ZvHn1c4_3OzGUEremsSJh7M4iBQIP416SGkb9MQsL1ZlZU","GAME_SIMULATION"
"Pizza Ready!","io.supercent.pizzaidle","Introducing Pizza Ready, the ultimate pizza restaurant simulation game! 🍕<br>Are you ready to become the master of your own pizza empire? This pizzeria game will immerse you in the world of a pizza shop and teach you everything about running a pizza business, from cooking and serving to cleaning and even managing staff!<br><br>🍕 Run your own Pizza Restaurant!🍕<br>As the boss of a pizza restaurant, you&#39;ll be responsible for everything from making and serving pizzas to managing store and hiring &amp; upgrading your ability. Your goal is to make your store the top-selling pizza shop and become rich!<br><br>🚗 Two Sales Windows: Counter and Drive-Thru! 🍽<br>Experience the thrill of taking orders not only at the counter but also at the Drive-Thru! Serve your hungry customers efficiently and witness your pizza business flourish. With two sales windows, the possibilities for success are doubled!<br><br>💪 Grow Your HR Skills, Hire, and Upgrade Employees!💼<br>Unleash your inner HR guru by hiring talented employees and upgrading their skills. Build a dream team that will help take your pizza business to new heights!<br><br>🔥 Unlimited Expansion, Chain Stores in Every State!🔥<br>Pizza Ready offers boundless opportunities for expansion. Not only can you expand your store, but you can also establish chain stores in every state! Become a nationwide pizza tycoon and dominate the industry like never before.<br><br>😄 Endless fun &amp; Completely Free! 😄<br>Pizza Ready is all about fun and enjoyment. It&#39;s completely free to play, ensuring that everyone can join in on the pizza-making excitement.<br><br>Download Pizza Ready now and experience the joy of running your own pizzeria!<br>Whether you&#39;re a fan of idle games, cooking, or simply love pizza, this game is for you. Solve your craving for excitement, challenge, and delicious food all in one! Get ready to serve the world, one slice at a time!","https://play-lh.googleusercontent.com/0iXkY-uS9VRHK6ggs4WQyNyv8BvCp88S_QMrpaxaQd1XaHIRU8pO-EfKfZueub3CBaI","GAME_SIMULATION"
"The Ink Shop - Tattoo Art ASMR","tatto.the.ink.store.shop.art.asmr","Welcome to The Ink Shop - Tattoo Art ASMR, a unique and immersive game that lets you unleash your inner tattoo artist. This isn&#39;t just any game; it&#39;s your gateway to a world where art meets relaxation, and where your creativity can truly shine. Prepare to immerse yourself in the satisfying and intricate process of tattooing, all at the tip of your fingers! 🖌️💉<br><br>As the master tattoo artist of The Ink Shop, you&#39;ll embark on a journey filled with art, precision, and satisfaction. Each customer comes with their own story and tattoo request, making every session unique and exciting. Your job? To bring their visions to life with utmost care and skill.<br><br>Here&#39;s What Awaits You in The Ink Shop:<br>🌟 Be the Artist: Receive customers, listen to their requests, and start your creative process. Shave the area, apply antiseptic, and get ready to ink!<br>🌟 Hundreds of Designs: Dive into a vast collection of tattoo designs. Whether it’s a fierce dragon, a delicate flower, or a custom piece, your artistic skills are the limit.<br>🌟 Satisfying ASMR Experience: Experience the soothing sounds of tattooing with ASMR. From the buzz of the machine to the skin&#39;s gentle shaving, it’s relaxation at its best.<br>🌟 Fix &amp; Perfect: Not all tattoos come out perfect on the first try. Some customers will come seeking your expertise to fix or remove defective tattoos. Show them what you&#39;ve got!<br>🌟 Earn &amp; Expand: With every successful tattoo, earn money and use it to upgrade your shop, buy new equipment, or unlock more intricate designs.<br><br>Why You&#39;ll Love The Ink Shop - Tattoo Art ASMR:<br>In The Ink Shop, every tattoo is a story waiting to be told, and you&#39;re the storyteller. The satisfaction of seeing your completed work is unparalleled - from carefully sizing up and outlining the design to the final inking, each step is a testament to your skill and creativity.<br><br>Are you ready to make your mark in the world of tattoo artistry? Download The Ink Shop - Tattoo Art ASMR now and start your journey from a budding artist to a tattoo legend. The buzz of the tattoo machine, the satisfaction of a perfect tattoo, and the smiles of happy customers await! Your journey to becoming a tattoo master begins here at The Ink Shop - Tattoo Art ASMR. Download now and let the artistry begin! 🌟📲💖","https://play-lh.googleusercontent.com/iFZp6b-cEGr6_ItIvdAqJjcLVxNVObBeFIj3cvFOsRY9tizrdKMNh2esWgpAMoVsyA","GAME_SIMULATION"
"Craft Box Game Tree","com.block.craft.cell.city.master.monster","Craft Box Game Tree is a building simulator in clicker format where you can create stunning block houses that will become not only your cozy base, but also a real architectural masterpiece!<br>Craft Box Game Tree is a 3D game in a open Block World game, which allow you to build everything in a 3D environment.<br>This Exploration game contains a large number of different blocks which you can craft your world.<br>Place and break blocks, build a house, a planting farming, an animal farm, chop trees, craft items, gather resources, go fishing, ride an ostrich, milk cows, battle monsters, dig and explore the secrets of a random underground, try to survive! The deeper you go, harder it gets! The game has creative and survival modes, offline, but also supports local multiplayer.<br>Let&#39;s explore a creativity space, where everything is made of blocks and the only limit is your imagination.","https://play-lh.googleusercontent.com/Ud0KNeEoKzSquAGUdjUnQhqEacGbPlfuH76L8ApYnoyje7zcvkxcsA_Hpu8kobolKNDK","GAME_SIMULATION"
"Melon Sandbox","com.studio27.MelonPlayground","Let your imagination loose with the wide variety of items at your disposal: melee weapons, guns and even barrels!","https://play-lh.googleusercontent.com/shl7HadKA3ZQKLP56B6mYBvM6kmRmSoLxx7oo7YeEwfaH0Oi_UpAqmaVHRSMGnpS57jh","GAME_SIMULATION"
"Boba DIY Bubble Tea","com.queen.drink.bubble.tasty.milktea","Welcome to &quot;Boba Tea&quot;: Make your own milkshakes, fresh juices, and delicious toppings in this immersive simulation.<br><br>Immerse yourself in the soothing symphony of flowing liquids and bubbling mixtures, creating a sensory experience that transcends the screen. Immerse yourself in a world of flavors and textures, and master the art of mixing bursts of flavor and bubbles.<br><br>Download now: Sip and enjoy your way through the universe of drinkable wonders in Boba Tea.","https://play-lh.googleusercontent.com/xq62iaQr15LyH5wzpTQZppgbjlgomJmW4VEmEtQcnPOg7yggaibSfn0qvFbe3e1nQyQ","GAME_SIMULATION"
"Hypermarket 3D","com.redcat.hypermarket","Become the top Hypermarket Superstar!! Complete all sorts of fun challenges! Grow your humble market all the way to a giant shopping paradise!<br><br>Scan and unlock all-new shiny items!<br>Sort your newly acquired items in perfect order!<br>Hop on a shopping cart and surf between cars in the parking area!<br>Grab all the shopping carts by chaining them together!<br>Wipe your market floor sparkling clean!<br><br><br>-Simple, easy one-touch controls<br>-Colorful, fun varied games each level!<br>-Even more items you can find than in a real supermarket<br>-Tons of colorful, juicy stages<br>-Fun gameplay rewarding efficiency","https://play-lh.googleusercontent.com/pCgQEqepokxBXm_zAHkrE8Ic9oQBGRRO6I3AG6k8vc9n0kA4MJY84xtkG9vJEM2akY1Y","GAME_SIMULATION"
"Fidget Toys 3D - Antistress","com.cdgames.fidget3d","We all fidget in our own ways. Some of us tap our feet or twitch our hands, but we all have that desire to move.<br><br>With some amazing creativity, hundreds of designers took it upon themselves to make their own fun toys. We find the cream of the crop, compiling more than 50 of the best fidget toys we could find.<br><br>A lot of fidget toys 3D will make you satisfy!<br><br>Some of our fidget toys:<br>- Pop it Fidget<br>- Fidget Bubble<br>- Fidget Cube<br>- Fidget spinner<br>- Fidget Dodecagon<br>- Bean Toy<br>- Slime<br>- Slice Sand<br>- Bubble Wrap<br>- Shredded Game<br>and More...<br><br>Let play &amp; have fun!!!","https://play-lh.googleusercontent.com/Q5itQKizV8KukUnOyjyC-HZ6tfSkhsKi61CaMUBmvhlHqBef-tjqSmYUGwSYbioD7JoZ","GAME_SIMULATION"
"BitLife - Life Simulator","com.candywriter.bitlife","How will you live your BitLife?<br><br>Will you try to make all the right choices in an attempt to become a model citizen sometime before you die? You could marry the love of your life, have kids, and pick up a good education along the way.<br><br>Or will you play choices that horrify your parents? You could descend into a life of crime, fall in love or go on adventures, start prison riots, smuggle duffle bags, and cheat on your spouse. You choose your story...<br><br>Discover how bit by bit life choices can add up to determine your success in life the game.<br><br>Interactive story games have been around for years. But this is the first text life simulator to truly mash up and simulate adult life!","https://play-lh.googleusercontent.com/fUM-UyywXxjC8soxAZdIlxJrlRRXmql8wkE426SHzft4lJycSKVd2jCYQQX1BEG9Xw","GAME_SIMULATION"
"Idle Lumber Empire","com.lumber.inc","Build your lumber and house manufacturing business and become a tycoon!<br><br>Welcome to Idle Lumber Empire - a brand new idle clicker game.  In this idle simulation game, you start running a small sawmill and working hard to manage, expand your factory to chase big dream: building lumber empire!<br><br>Manage Forests<br>In order to harvest trees sustainably, you need to hire tree planters to grow your forests! Purchase more lands to green &#39;em all! Train your lumberjacks to become skilled workers so they can harvest logs efficiently.<br><br>Build milling lines<br>Purchase and upgrade new machines to process log fasters and produce more lumber products. Lots of machines awaiting you to discover.<br><br>Maintain and upgrade vehicles<br>Log Trucks, forklifts deliver logs from storage to machines. Upgrade, maintain them well to keep the factory working continuously<br><br>Manage Sales<br>Run marketing campaigns to attract new clients, process orders efficiently to earn the most profits.<br><br>Biz Upgrade<br>Earn BizPoints from each processed order, spend your hard-earned BizPoints wisely to boost the Factory income permanently.<br><br>Enjoy the new addictive idle logging simulator game!","https://play-lh.googleusercontent.com/oZbEiSliZD0Qi8BnDgVki6covTBPIg0a_jgpJ_0tp3cE5Zu6bEqxqh8CjF0Z0_9xRw","GAME_SIMULATION"
