Game Name,Package Name,Description,Icon URL,Category
"8 Ball Pool","com.miniclip.eightballpool","Do you want to play in the world of pool games? 8 Ball Pool is an addictive challenging game based on real 3D pool games, where you will challenge your friends online. Become a master of the pool!<br><br>The balls game is easy to win. You just have to select the table and get ready. Join us and challenge your friends to this ball game in PvP mode. Use your pool strategy with the cue wisely in this online multiplayer ball game as every round will be more difficult after each level. You can play in multiplayer or PvP mode in different pool tables. Become the best player and challenge your friends in this pool game.<br><br>You can play pool in multiplayer or PvP mode using different balls and table types. 8 Ball Pool is designed to help your intelligence. You will improve the aim when shooting balls with the cue. <br><br>CHALLENGE YOUR FRIENDS<br>Playing pool in multiplayer tournaments with friends is easy: Sign in for free with your Miniclip or Facebook account and you’ll be able to challenge your friends straight from this multiplayer 8 ball game. Challenge friends to a PvP pool match on the go. Aim and shoot your best balls with a customized cue in our online 3D PvP tournament!<br><br>PLAY FOR COINS AND WIN EXCLUSIVE ITEMS<br>Customize your cue and pool table! In every competitive PvP match you play in our league, there’ll be Coins at stake – win the match and the Coins are yours. You can also buy new items in the Pool Shop. Compete in our 3D multiplayer league and become a master of 8 balls in 3D!<br>The 8 Ball level system means you’re always facing challenging players in the 8 ball league. Play multiplayer 8 Ball Pool to increase your ranking in our pool league and get access to more exclusive 8 Ball Pool match locations, where you play and compete against the best online pool players. 8 Ball Pool has different match levels: It doesn&#39;t matter if you&#39;re an amateur or a pro player, take your chance in our PvP competitions with your friends and other players and win the pool challenge: Aim with the cue and prove your skills in this free 8 ball online tournament.<br><br>*This 8 Ball Pool game requires internet connection.<br><br>This game includes optional in-game purchases (includes random items).<br><br>Play on the Web at miniclip.com/pool<br>TERMS AND CONDITIONS: http://www.miniclip.com/terms-and-conditions<br>PRIVACY POLICY: http://www.miniclip.com/privacy<br>------------------------------------<br>Miniclip: http://www.miniclip.com<br>Like 8 Ball Pool: http://on.fb.me/Wx4f23<br>Facebook: http://facebook.com/miniclip<br>Twitter: http://twitter.com/miniclip","https://play-lh.googleusercontent.com/bPz1guJ6FHF3oIOEy3KqwpaDDKO-hLRaZoyzmM8bLFLN8fWm6L0_EuUnkwv9iqPo3Ag","GAME_SPORTS"
"EA SPORTS FC™ Mobile Soccer","com.ea.gp.fifamobile","FIFA Mobile is now EA SPORTS FC™ Mobile Soccer! The World&#39;s Game, in your pocket.<br><br>Train and build your dream Football Ultimate Team™ of soccer legends and put them to the test. Collect Player Items of world-class talent like Erling Haaland, Jude Bellingham, Virgil van Dijk, and Son Heung-min. Take control in the latest version of your favourite online soccer game.<br><br>Manage teams from your favourite soccer league – Real Madrid from LALIGA EA SPORTS™, Manchester City from the Premier League, and many more. Score goals with some of your favourite players as you level up your dream team of soccer stars from the 23/24 season. Join a league with your friends &amp; compete against the best in PvP games including Head-to-Head, VS Attack and Manager Mode.<br><br>Join the next generation of soccer legends with EA SPORTS FC.<br><br>NEXT-LEVEL GAMEPLAY<br>- True Player Personality: Reflecting authentic player characteristics, with tangible attribute impact and animation diversity<br>- Dynamic Game Speed: Mobile-first and tactile game speed, allowing for a more exciting sports game experience<br>- Elite Shooting System: Realistic shot system allows impact players to make their mark<br><br>CHALLENGE YOUR FRIENDS &amp; WATCH LEAGUE MATCHES LIVE<br>- Join a league with friends and challenge them to a match<br>- Share your league match broadcasts so your league mates can watch live<br>- Watch your league mates compete in their H2H matches, or watch the recording for up to a week post match<br>- Start a League Tournament and battle other Leagues to top the leaderboard<br><br>IMMERSIVE NEXT-LEVEL SOCCER GAME<br>- Immersive Broadcast Experience bringing an authentic feel to your online soccer games<br>- Discover new dynamic cameras and impactful replays<br>- Soccer fans can experience realistic stadium SFX and live on-field commentary<br>- Unlock stadiums and weather modes for an enhanced soccer matchday<br><br>SOCCER LEGENDS, LEAGUES &amp; COMPETITIONS<br>- EA SPORTS FC MOBILE is home to the biggest competitions, leagues, and players across the world’s game with more than 15,000 fully licensed players, 650+ teams, and 30+ leagues<br>- Premier League, UEFA Champions League, LALIGA EASPORTS, Bundesliga, Ligue 1, Serie A, , and many more are playable throughout the season<br>-UEFA European Championship coming this summer!<br>- Get on the pitch with world soccer stars: Erling Haaland, Jude Bellingham, Virgil van Dijk, Son Heung-min and many more<br>- Play with soccer legends and ICONs: Ronaldinho, Steven Gerrard &amp; Wayne Rooney<br><br>UCL TOURNAMENT MODE<br>- Play the Champions League with all 32 qualified teams<br>- Experience the authentic UCL broadcasting package, UCL stadium art, official UCL ball and the iconic trophy ceremony<br><br>FIFA Mobile is now FC Mobile. Welcome to the club.<br><br>This app: Requires acceptance of EA’s User Agreement and Privacy &amp; Cookie Policy. Do Not Sell My Personal Information: https://tos.ea.com/legalapp/WEBPRIVACYCA/US/en/PC/ Requires an Internet connection (network fees may apply). Allows players (above the minimum age of digital consent in their country) to communicate via League chat; to disable for users under the age of majority with League chat access, use your device&#39;s parental controls. Includes in-game advertising. Contains direct links to the Internet and social networking sites intended for an audience over 13. The app uses Google Play Game Services. Log out of Google Play Game Services before installation if you don’t want to share your game play with friends. This game includes optional in-game purchases of virtual currency that can be used to acquire virtual in-game items, including a random selection of virtual in-game items. FC Points not available in Belgium.<br><br>User Agreement: terms.ea.com<br>Privacy and Cookie Policy: privacy.ea.com<br>Visit help.ea.com for assistance or inquiries.<br>EA may retire online features after 30 days’ notice posted on ea.com/service-updates.","https://play-lh.googleusercontent.com/opydYHj2_Mg7si7_gcEHYtdIL09CU32oqTSTPfBe0a-IL_9hpo6R_TK1l0hBsw1lOkGx","GAME_SPORTS"
"Soccer Superstar","com.soccer.score.star","Play the brand new football game Soccer Super Star and enjoy real run-time and kick physics for an immersive and legendary football experience!<br><br>Love action arcade soccer but lack the time to practice? The new Soccer Super Star’s very easy to learn game controls allows you to jump-start the fun. Just flick your finger across the screen to kick the ball and score a goal! <br><br>Sounds easy, right? Wrong. As you progress through the game, shots become more challenging and you’ll need a solid strategy to bend shots and split defenses. Soccer Super Star doesn’t get overly complicated but maintains a steady increase in difficulty while offering the best flick to kick experience! Be the hero in every match. <br><br>Soccer Super Star’s gameplay concept is expertly done, the high degree of independence allows you to reflect your personal strategy in the game as you level up through your dream Leagues. Dynamic levels in addition to beautifully done artwork that will top-off your truly immersive (soccer) football experience.<br><br>Download to play today and score big! Yes, you can even play offline.<br><br>GAME FEATURES:<br><br>• PLAY OFFLINE - FREE<br>It’s true, you can play and manage your team of eleven without the internet!<br><br>• STAR SOCCER PLAYERS TO UNLOCK<br>Utilizing the latest 2020 motion capture technology of real star players<br><br>• IMMERSIVE 3D MOBILE ENGINE &amp; ADVANCED GAME A.I.<br>Intelligent game A.I. allows realistic freedom, powerful simulation with accurate ball physics. Make your way through the Leagues to be a Soccer Superstar!<br><br>• JOIN WEEKLY OFFLINE TOURNAMENTS<br>Be the hero for your country &amp; Club and head for glory!<br><br>• SUPER SIMPLE GAME CONTROLS<br>Intuitive flick to pass and kick gameplay, sweep your finger across the ball to drive, curve and power the ball past walls of defenders.<br><br>We love to hear from you! Please email us with your thoughts to soccersuperstarteam@gmail.com","https://play-lh.googleusercontent.com/L28fJKvmMH9X3EDjDgJyAEK4UgkTzW2zAZCYG5H-wQSwdhfnv4NRQ34g0LDGDJi9nLt6","GAME_SPORTS"
"Archery Clash!","archery.clash.tournament","🏹 Archery Clash: Master Cold Weapon Combat in Epic 3D Archery Duels! 🎯<br><br>Enter the thrilling arena of Archery Clash, where the essence of shooter sports and cold weapon mastery culminates in the ultimate showdown. Embrace your role as a legendary archer, mastering the bow, spear, and axe to outsmart and outmaneuver your adversaries. With every precise throw and strategic strike, engage in epic 3D duels that test your precision, strategy, and archery skills. Are you ready to claim your victory and ascend to the ranks of the bowmasters?<br><br>🎯 Strategic Shooter &amp; Archery Gameplay<br><br>Dive into strategic, turn-based duels where every decision can turn the tide of battle. Select your weapon wisely from a quiver full of bows, spears, and axes, and master the ancient art of knife throwing. Each weapon offers unique gameplay advantages, perfect for PvP enthusiasts and fans of combat archery simulators.<br><br>🛡️ Progress &amp; Customize: RPG-Style Upgrades<br><br>Victory in the arena unlocks a trove of upgrades and legendary gear, propelling your prowess in this competitive sports arena. From the classic bow to the formidable hatchet, customize your arsenal to fit your combat style, making every tournament and betting match a display of your unique talents.<br><br>🏆 Engage in Thrilling Competitions &amp; Betting Tournaments<br><br>Rise through the ranks in exhilarating PvP tournaments, showcasing your skills as a true master of archery and cold weapons. Engage in a unique betting system that adds a thrilling layer of strategy to every duel, rewarding the bold and the skilled.<br><br>🎲 Skill-Based Challenges for Archery Enthusiasts<br><br>Archery Clash is a test of tactical intellect as much as it is of precision. Anticipate your opponent&#39;s moves and perfect your aim and timing to dominate the battlefield. This archery simulator offers a true skill-based challenge that will appeal to both experienced archers and newcomers.<br><br>📥 Embark on an Unforgettable Archery Adventure<br><br>Archery Clash isn&#39;t just a game—it&#39;s a journey into the heart of archery, blending RPG elements, strategic depth, and intense PvP action. Whether you&#39;re here for the girls wielding bows or the adrenaline-pumping tournaments, Archery Clash has something for every archery enthusiast. Download now and step into a world where only the sharpest shooters and strategists prevail.","https://play-lh.googleusercontent.com/7V4mkplaZpOo2_YcnGGgC37XAYdTwaN7Ir57rDyvS3_IQOTmV7zrKz08dA_mbdJRK4a5","GAME_SPORTS"
"BASEBALL 9","us.kr.baseballnine","Enjoy fast-paced, realistic baseball game, featuring compact gameplay and informative stats.<br><br>Play BASEBALL NINE to become the Legend League Champion!<br><br>★ Game Features<br>- Lean and fast gameplay!<br>- Casual characters and serious game mechanics!<br>- Pitching and fielding as fun as batting!<br>- You can play base running manually!<br>- Comprehensive player stats!<br>- Improved Autoplay with selective automation of player, inning, watching, and quick result.<br>- Rename, gear up, and customize your players!<br>- Offline mode available!<br><br>★ Fast, compact gameplay!<br>- Enjoy a speedy, streamlined playing experience.<br>- Hit massive dingers and get thrilling strikeouts.<br>- Specialized auto functions by game, by inning, and by player are a given!<br><br>★ Enjoy realistic baseball!<br>- Experience gameplay with realistic baseball rules.<br>- Simulated results based on actual game stats.<br><br>★ Recruit and develop your roster!<br>- Recruit players and develop them by raising stats of your choice<br>- Equip and upgrade skills to develop them into specialists.<br>- Raise the player tiers to turn them into hall of famers.<br><br>★ Customize your players!<br>- Rename them and set them as left-handed or right-handed batters or pitchers.<br>- Change their faces, pick body types, and choose different batting and pitching motions.<br>- Try equipping a range of bats, gloves, and glasses to customize your players in unique ways.<br><br>★ Manage your team and get promoted to higher leagues!<br>- Rename your team and change its emblem and uniform.<br>- Expand into new stadiums and manage the team’s cumulative stats.<br>- Advance to the postseason and win for promotion to a higher league.<br><br>★ Supports tablets.","https://play-lh.googleusercontent.com/Y9GghCslNNk-nWccWvxgCDYvd7yLSwkw0hZ3NVTkSJqigY0ZozK3lv85jR02XOJSDPQ","GAME_SPORTS"
"Football League 2024","com.football.soccer.league","Viva world football! Football League 2024 provides a total soccer game experience by immersing you in incredibly lucid graphics and intelligent game engine. Every strike, pass and score is beautifully executed allowing you to simply enjoy the spirit of the beautiful game. Take full control over team tactics and formations then score your way to the top and become world Champions. Soccer stars are what legendary teams are made of, use your strategic tactics to rise your team up in the ranks. Fans around the world eagerly waits for the soccer hero in you!<br><br>Come feel the joy and excitement of the perfect kick, compete in matches that are unlike any mobile sports simulation experience you’ve had before to understand what it means to have so much more. Smooth intuitive operations allows players to focus on intelligently reading the game, quickly adjust behavior and finesse your shooting allowing you to dominate over your rivals.<br><br>DREAM TEAM FEATURES<br>- Over 100 National Teams and 330 Clubs to choose from<br>- Quickly adapt, change strategy, and inhibit actions with our highly responsive total game control engine for a crazy real soccer experience<br>- Create the ultimate team by developing your eleven pro soccer players to increase their skills and abilities to become elite league players<br>- Come make your dream winning streak a reality and unleash your pro soccer skills with fully customizable tactics<br>- Win the trophy and be your dream team’s hero manager by creating the perfect formation of eleven players while fine tuning along the way<br><br>DYNAMIC ADAPTIVE GAMEPLAY<br>- Fluent controls and total player motion physics<br>- Full controller support<br>- Multi-language narration<br>- Play offline game<br><br>Classic National-Cups<br>-------------------------------<br>International<br>European<br>American<br>Asian<br><br>Club-Leagues<br>-------------------------------<br>England<br>Spain<br>Italy<br>Germany<br>France<br>Brazil<br><br>Club-Tournaments<br>-------------------------------<br>European Championship<br>South American Championship<br>English<br>French<br>Italian<br>Spanish<br>German<br>Brazil<br>English Super<br>French Super<br>Italian Super<br>Spanish Super<br>German Super<br>Brazil Super<br>European Super<br>Club World","https://play-lh.googleusercontent.com/V4Or1ppwxfAxU6nEROOK4z5-P_hh8BlHDTdMc_RkTzswbDXX6tuyBQeVpwK_JMKjBA","GAME_SPORTS"
"Ultimate Clash Soccer","com.firsttouchgames.mpx","Bring together the magic of building a football team of collectable FIFPRO™ licensed players, including Rafael Leão and Ederson with the excitement of live pvp, multiplayer action! Play Ultimate Clash Soccer and get ready for a fun, easy to play football game where your strategy and gameplay skills combine perfectly in stunning graphics.<br><br>Ultimate Clash Soccer, a new football game from the award winning team at First Touch Games.<br><br>SEASONAL FRESH CONTENT<br>•	Collect seasonally refreshed real players officially licensed from FIFPRO™.  <br>•	Visit different cities and destinations each season! Win exciting events for unique prizes!<br>•	Unique statistics and attributes assigned to each player based on true abilities and traits.<br>•	Master team selection choices.  Rotate your team and upgrade your players.  Fine tune with strategic tactics and team harmony!<br>•	Choose your formation and roles. Then play!<br><br>NEW TRANSFER MARKET!!<br>•	Keep an eye out for favourite players available on the constantly refreshed transfer market!<br><br>REALISTIC, HIGH ENERGY 3D GAMEPLAY<br>•	Kick-off an action-packed, adrenaline-filled 90 second match.   <br>•	Choose players to make runs off the ball, craft beautiful passes and hit spectacular goals through simple finger-swiping controls, backed by sophisticated AI and animations.  <br>•	Anticipate your defender movement and master tackle timing.    <br>•	Keep cool in penalties and shoot outs.  Every match must have winner!<br><br>CELEBRATE SUCCESS<br>•	Soar up through the ranks as you win.  <br>•	Achieve personal milestones, objectives and celebrate your well-deserved rewards and trophies. Show them off in personal and global leaderboards for everyone to see!<br>•	Challenge your friends in nail biting 1 on 1 matches, to see who will rank top!<br><br>COLLECT AND CUSTOMISE<br>•	Collect exquisitely designed kits and unique crests.  Dress to impress!<br>•	Share reactions through fun emojis.<br>•	Give your team real personality with your very own mascot!<br><br>* Please note: This game is free to play, but additional content and in-game items may be purchased for real money. Certain content items are offered in a randomised order based on displayed drop rates. To disable In-App Purchases, go to Play Store/Settings/Authentication. <br><br>* This game requires an internet connection and contains third party advertising.<br><br>VISIT US: firsttouchgames.com<br>LIKE US:  facebook.com/ultimateclashsoccer/<br>FOLLOW US:  twitter.com/firsttouchgames<br>WATCH US:  youtube.com/firsttouchgames","https://play-lh.googleusercontent.com/e4OscjutymB2-_QeohFhBIy_dfXJpX63W_ftFktTBw3Q2SjYaYGWO_odzKQ7P2cdU78","GAME_SPORTS"
"NBA 2K24 MyTEAM","com.t2ksports.myteam","NBA 2K24 MyTEAM offers a new way to play and upgrade YOUR lineup and collection in your favorite NBA simulation console game on the go. With MyTEAM, you can assemble a roster of your favorite NBA players from any era and dominate the competition. Play NBA 2K24 MyTEAM for free, or link your PlayStation or Xbox account to seamlessly sync your progress between your console and mobile device. MyTEAM caters to casual NBA fans, card collectors, and competitive gamers alike, delivering an incredible gaming experience that will keep you engaged. Redeem locker codes, claim rewards, and acquire the latest players from your mobile device.<br><br>NBA 2K24 MyTEAM boasts many different game modes with varying formats to put your skills to the test. Earn rewards across all modes, in 3v3, 5v5, and full-lineup game types with unique win conditions and game formats. Whether you want to compete in Triple Threat Online: Co-Op, take on the entire NBA in Domination or prove your mettle in Clutch Time, a fast-paced single-quarter mode. Hungry for more? Showcase your skills against the best players across the world in Unlimited. Flex your championship-caliber lineups in Spotlight, Pick-Up, Skills, and Signature Challenges, with new rewards to earn every Season.<br><br>Explore the all-new Salary Cap mode where you are given a maximum salary for assembling your lineup. Each card is given a value that goes against your Salary Cap, so choose wisely to ensure you have the deepest team possible. Salary Cap games use a new one-of-a-kind game format; build your lead in the first half, then be the first to the target score in the second half to get the win! With new rounds and rewards every two weeks, it’s never a bad time to compete in Salary Cap.<br><br>The newly added Player Market allows you to build the lineup of your dreams on Day 1. Earn reward cards for playing one of the many game modes or use the MTP earned from gameplay to acquire players. Whatever you decide, the choice is yours!<br><br>Redeem locker codes on the go and never miss a drop. Earn season reward and XP, achieve Level 40, and unlock great rewards along the way by completing a wide range of Season Agendas. When one season ends, the next begins!<br><br>There’s even more to do off the digital hardwood in NBA 2K24 MyTEAM. Enter weekly challenges and earn rewards for your team. Send your players on Exhibitions missions where they will leave your collection temporarily and return with new rewards. Upgrade your lineup through the Pack Market, Token Market, and the Exchange. In NBA 2K24 MyTEAM, you can create limitless lineup variations on your quest for greatness. Play, earn, and craft your way to the top!<br><br>Authenticate with your XBOX or PlayStation account to enable cross-progression between mobile and console - play, progress, and enjoy content everywhere. <br><br>You can also use Google login and start playing MyTEAM now - your progress, content, and currencies will be available on your mobile device only.<br><br>Requires an Internet connection and mobile device with 4+ GB of RAM. <br><br>Do Not Sell My Personal Information: https://www.take2games.com/ccpa<br><br>Please note that NBA 2K24 online features are scheduled to be available until December 31, 2025 though we reserve the right to modify or discontinue online features without notice in accordance with our Terms of Service (https://www.take2games.com/legal/). Visit www.nba2k.com/status for more information.","https://play-lh.googleusercontent.com/DW5dDN6XRFn7hrD8RNzGHkhEFTNxfkHGgXUrA1ux_6oXu7Y7K7NfzK5gEmAXo9TMaQc","GAME_SPORTS"
"Golf Clash","com.playdemic.golf.android","One of the top golf games around! <br><br>Step into the simulation and play the online multiplayer hit game everybody’s talking about - and it’s free to download!<br><br>Tee up on beautiful golf courses as you tour the world and battle your rivals, competing in online, PvP, multiplayer golf tournaments!<br><br>Golf Clash is the golf simulation game you can pick up and play anywhere, anytime, and compete in online multiplayer with millions of other golfers around the world in this BAFTA-winning game! <br><br>Play in online tournaments across 18 holes or 9 holes where it will be raining birdies as you crush your rivals!<br><br>REAL-TIME ONLINE MULTIPLAYER GOLF GAME:<br><br>- Clash with your rivals in quick-fire PvP online multiplayer golf duels. Drive it out in online golf battles and get 18 birdies more than your closest golf rivals!<br>- Intuitive and revolutionary golf shot mechanic that’s easy to learn but difficult to master. Tee up your best ball for the ultimate chance to come out on top as the golf king!<br>- Simply place your ball on the tee and move the target where you want to aim, then drag your golf ball back to apply power!<br><br>CONQUER YOUR GOLF RIVALS:<br><br>- Play. drive, chip &amp; putt your ball to victory in global multiplayer golf tournaments to become the ultimate Golf King!<br>- Unlock powerful new clubs to gain an advantage on the golf course with a range of attributes including power, accuracy, shape and more. Can you become the ultimate golf master?<br>- Collect over 600 new balls with a wide range of attributes to cancel out the competition on the course.<br>- Open up your ball collection album and collect hundreds of unique balls to earn the illusive Neutron Ball!<br>- Battle online across 13 challenging tours to become the ultimate Golf King!<br>- Unlock as you play and progress to more advanced tours with more challenging course conditions as you “raise the stakes”.<br>- Dozens of golf courses to tee off on with new courses added frequently.<br><br>PERSONALISE YOUR GAME:<br><br>- Keep hitting your balls as you progress through the free season track to earn new vanity rewards including hole explosions, tees, emotes &amp; chat options. Buy into the optional Golf Pass track to earn even more Legendary Rewards (requires in-game purchase).<br><br>MORE GAME MODES, MORE REWARDS:<br><br>- Compete in weekly leagues with millions of golfers around the world to earn promotions and earn rewards when you come out on top.<br>- Face off against other golfers in the Checkpoint Challenge as you battle it out on your personal challenge track against online multiplayer competition!<br>- Challenge yourself &amp; tee off in a single player closest-to-the-pin simulation in Golden Shot and earn rewards using your golf skills.<br>- Play your top golf on real courses from the tour and clash with your rivals to battle it out in officially licensed tournaments. <br><br>JOIN THE COMMUNITY:<br><br>- Join a Golf Clash clan to battle it out in team-based leaderboards to earn rewards and emerge above your rivals in the Champion’s 100.<br>- Save and share replays of your jaw-dropping golf shots.<br>- Banter with friends &amp; the competition with chat and emotes during the game.<br><br>Download Golf Clash today and show off your golfing prowess!<br>Awards<br><br>‘Best Mobile Game’ - BAFTA<br>‘Game of the Year’ - Mobile Games Awards<br><br>Need support to get back onto the course?<br>https://playdemic.helpshift.com/a/golf-clash/<br><br>See you down the Clubhouse:<br>https://www.facebook.com/GolfClashPlaydemic/<br>https://twitter.com/GolfClashGame<br><br>A network connection is required to play this online multiplayer golfing simulation game.<br>Golf Clash includes optional in-game purchases (includes random items).<br>Emoji icons supplied by EmojiOne.<br>User Agreement: terms.ea.com<br>Privacy and Cookie Policy: privacy.ea.com<br>Visit help.ea.com for assistance or inquiries.<br><br>Do Not Sell My Personal Information: https://tos.ea.com/legalapp/WEBPRIVACYCA/US/en/PC/<br>EA may retire online features after 30 days’ notice posted on ea.com/service-updates.","https://play-lh.googleusercontent.com/DDvRlMqFGCkO0jt_lgh_dR45bTUE5QhiNIijUeF9KvzPqj4cw8uTLhHwDb67HENPaBQ","GAME_SPORTS"
"Shooting Ball","com.billiards.shooting.ball.pool","Shooting Ball is a relaxing billiard game with real physics and realistic 3D effect.<br><br>Through the game, you can also collect more different good looking billiard cues.<br><br>In Shooting Ball You can play different levels of games from simple to complex,because we have more than 1000 levels in game.<br><br>Come play Shooting Ball soon!","https://play-lh.googleusercontent.com/eghDTXMNh2Zu7ZWLYr2mEI_yTN9TKKDOm2xUf8lYHg4gqYEGcnH7SgHDrn3BHG_ZCSA","GAME_SPORTS"
