Game Name,Package Name,Description,Icon URL,Category
"Last War:Survival Game","com.fun.lastwar.gp","A global zombie infestation has converted many into zombies. As a survivor, your primary goal is to retain your humanity and survive.<br><br>- Think Fast, Move Faster!<br>Begin your journey with an intense survival challenge. Dodge and combat waves of zombies. It&#39;s not just about survival; it&#39;s about quick reflexes and strategic thinking, as each lane presents unique obstacles and zombies!<br><br>- Create Your Zombie-Free Shelter<br>Customize your base and expand your army - you are the light in this shelter, leading people towards a glimmer of hope. In this strategic game, your choices in building and developing your base will shape the future of your survivors in a world overrun by zombies.<br><br>- Assemble Your Dream Team<br>Assemble your ultimate team by recruiting heroes. With a choice of three military branches, each hero comes with their own unique skills. Combine different heroes to easily achieve victory against the zombies.<br><br>- Unite for the Greater Good<br>In the challenging world of zombies, survival is a team effort. Partner with players from all over the globe to battle the zombies. Stay alert – alliances are complex, and not every survivor you encounter is friendly.<br><br>How long can you last in this apocalypse? Join Last War: Survival Game and embark on a thrilling journey of survival and strategy!","https://play-lh.googleusercontent.com/uvq_7oyWAdqTHLq_JEFglS7WVWtEwDP5AT60EN7VhYJwtWQWp2trgXu05LcOB_V6FdQ","GAME_STRATEGY"
"Whiteout Survival","com.gof.global","Whiteout Survival is a survival strategy game to center on a glacial apocalypse theme. Fascinating mechanics and intricate details await you to explore!<br><br>The catastrophic decline in global temperatures has wreaked havoc on human society. Those who have made it out of their crumbling homes are now faced with a new set of challenges: vicious blizzards, ferocious beasts, and opportunistic bandits looking to prey on their despair.<br><br>As the head of the last city in these icy wastes, you are the only hope for humanity&#39;s continued existence. Can you successfully guide the survivors through the ordeal of adapting to the hostile environment and re-establishing civilization? The time for you to rise to the occasion is now!<br><br>[Special Features]<br><br>ASSIGN JOBS<br><br>Assign your survivors to specialized roles such as hunter, cook, woodcutter, and many more. Keep an eye on their health and happiness and treat them promptly in case they get ill!<br><br>[Strategic Gameplay]<br><br>SEIZE THE RESOURCES<br><br>There are still countless usable resources scattered across the ice field, but you are not alone in this knowledge. The vicious beasts and other capable chiefs are eyeing them as well... War is inevitable, and you must do whatever it takes to overcome the obstacles and make the resources yours!<br><br>CONQUER THE ICE FIELD<br><br>Fight for the title of the Strongest with millions of other gamers from around the world. Stake your claim to the throne and establish your dominion over the frozen wastes in this test of your strategic and intellectual prowess!<br><br>BUILD AN ALLIANCE<br><br>Find strength in numbers! Create or join an alliance and dominate the battlefield with allies at your side!<br><br>RECRUIT HEROES<br><br>Recruit heroes of different talents and abilities for a better fighting chance against the dreadful frost!<br><br>COMPETE WITH OTHER CHIEFS<br><br>Make the most of your heroes&#39; skills and battle it out with other chiefs to win rare items and infinite glory! Take your city to the top of the rankings and prove your mettle to the globe!<br><br>DEVELOP TECHNOLOGY<br><br>The glacial catastrophe has wiped out all forms of technology. Start again from scratch and rebuild a system of technology! Whoever controls the most advanced technologies rules the world!<br><br>Whiteout Survival is a free-to-play strategy mobile game. You may also choose to purchase in-game items with real money to speed up your game progress, but this is never necessary for you to enjoy this game!<br><br>Enjoying Whiteout Survival? Check out our Facebook page at the link below to find out more about the game!<br><br>https://www.facebook.com/Whiteout-Survival-101709235817625","https://play-lh.googleusercontent.com/Ypzsv7n4WemQHPi3rX1KemgGAnYcSP1jqTYJb2z0FOcbmPTziXrnM-LulNbeMIo-wA","GAME_STRATEGY"
"Clash of Clans","com.supercell.clashofclans","Join millions of players worldwide as you build your village, raise a clan, and compete in epic Clan Wars!<br><br>Mustachioed Barbarians, fire wielding Wizards, and other unique troops are waiting for you! Enter the world of Clash!<br><br>Classic Features:<br>● Join a Clan of fellow players or start your own and invite friends.<br>● Fight in Clan Wars as a team against millions of active players across the globe.<br>● Test your skills in the competitive Clan War Leagues and prove you’re the best.<br>● Forge alliances, work together with your Clan in Clan Games to earn valuable Magic items.<br>● Plan your unique battle strategy with countless combinations of Spells, Troops, and Heroes!<br>● Compete with the best players from around the world and rise to the top of the Leaderboard in Legend League.<br>● Collect resources and steal loot from other players to upgrade your own Village and turn it into a stronghold. <br>● Defend against enemy attacks with a multitude of Towers, Cannons, Bombs, Traps, Mortars, and Walls.<br>● Unlock epic Heroes like the Barbarian King, Archer Queen, Grand Warden, Royal Champion, and Battle Machine. <br>● Research upgrades in your Laboratory to make your Troops, Spells, and Siege Machines even more powerful.<br>● Create your own custom PVP experiences through Friendly Challenges, Friendly Wars, and special live events.<br>● Watch Clanmates attack and defend in real-time as a spectator or check out the video replays.<br>● Fight against the Goblin King in a single player campaign mode through the realm.<br>● Learn new tactics and experiment with your army and Clan Castle troops in Practice Mode.<br>● Journey to the Builder Base and discover new buildings and characters in a mysterious world.<br>● Turn your Builder Base into an unbeatable fortress and defeat rival players in Versus Battles. <br>● Collect exclusive Hero Skins and Sceneries to customize your Village.<br><br>What are you waiting for, Chief? Join the action today.<br><br>PLEASE NOTE! Clash of Clans is free to download and play, however, some game items can also be purchased for real money. If you don&#39;t want to use this feature, please disable in-app purchases in your device&#39;s settings. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash of Clans.<br><br>A network connection is also required.<br><br>If you have fun playing Clash of Clans, you may also enjoy other Supercell games like Clash Royale, Brawl Stars, Boom Beach, and Hay Day. Make sure to check those out!<br><br>Support: Chief, are you having problems? Visit https://help.supercellsupport.com/clash-of-clans/en/index.html or http://supr.cl/ClashForum or contact us in game by going to Settings &gt; Help and Support.<br><br>Privacy Policy: http://www.supercell.net/privacy-policy/<br><br>Terms of Service: http://www.supercell.net/terms-of-service/<br><br>Parent’s Guide: http://www.supercell.net/parents","https://play-lh.googleusercontent.com/LByrur1mTmPeNr0ljI-uAUcct1rzmTve5Esau1SwoAzjBXQUby6uHIfHbF9TAT51mgHm","GAME_STRATEGY"
"Evony: The King's Return","com.topgamesinc.evony","Shoot and engage in battles！<br>Build your cities. Train your troops. Expand your empire. Be the king of 7 kingdoms!<br>All in Evony: The King&#39;s Return, the hottest real-time strategy MMO of 2024!<br><br>Unique gameplay features:<br><b>◆ Challenge a variety of Survivor Levels<br>◆ Move, shoot, evolve weapons<br>◆ Use flexible finger controls<br>◆ Experience the joy of puzzle solving</b> <br><br>Build your own empire<br> THE EXCEPTIONALLY RICH AND AMAZING SET OF FEATURES: <br> ◆ Choose from 7 civilizations to customize your game’s architectural style: <b>American, Chinese, European, Russian, Korean, Arabia and Japanese!</b> <br><br>◆ YOU ARE THE SURVIVOR! Move, dodge, shoot, acquire weapons, and fight to the last moment!<br>  <br> ◆ YOU ARE THE DIPLOMAT! Join a strong Alliance where you can make friends, communicate in real-time via voice and text with auto-translations so you can improve strategies and win epic battles. <br>  <br> ◆ YOU ARE THE WARLORD! With over four types of troops to select and train from ground-pounding infantry to massive siege engines; fight against your enemies and see the battles happen all around you in real-time on the stunningly animated World Map. <br>  <br> ◆ YOU ARE THE GOVERNOR! Administrate your cities in your Empire and use your leadership skills in managing resources and research improvements to gain strategic advantages. <br>  <br> ◆ YOU ARE THE MONARCH! Recruit famous Generals of history to help with battles and city development. <b>Abraham Lincoln, George Washington, King Arthur, Charles the Great, Julius Caesar, Genghis Khan, Oda Nobunaga, Yi Sun-sin, </b> and more await you to explore. See them battle across the world of Evony in real-time, capture enemy generals and use them against their own leaders! <br>  <br> Facebook fan page: <br> https://www.facebook.com/Evony.The.Kings.Return/ <br>  <br> NOTICE: Evony: The King’s Return is a completely free-to-play game, however there are some game items that can also be purchased for real money. If you don’t want to use this feature, please disable in-app purchases in your device’s settings. Also under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Evony: The King’s Return. <br>  <br> Do you want to be the king of 7 kingdoms? <br> Join now with your friends in the highly addictive RTS/SLG game NOW!&quot;","https://play-lh.googleusercontent.com/-kxC4InQ01s06oRPVdInILaIitVUs5QD4IFGAFeXWTR62gAF-BPJuhXZi_cPvVB13oE","GAME_STRATEGY"
"Plants vs. Zombies™","com.ea.game.pvzfree_row","Get ready to soil your plants as a mob of fun-loving zombies is about to invade your home. Use your arsenal of 49 zombie-zapping plants — peashooters, wall-nuts, cherry bombs and more — to mulchify 26 types of zombies before they break down your door. <br><br>This app offers in-app purchases. You may disable in-app purchasing using your device settings<br><br>WINNER OF OVER 30 GAME OF THE YEAR AWARDS*<br><br>50 FUN-DEAD LEVELS<br>Conquer all 50 levels of Adventure mode — through day, night, fog, in a swimming pool, on the rooftop and more. Plus fend off a continual wave of zombies as long as you can with Survival mode!<br><br>NOT GARDEN-VARIETY GHOULS<br>Battle zombie pole-vaulters, snorkelers, bucketheads and 26 more fun-dead zombies. Each has its own special skills, so you&#39;ll need to think fast and plant faster to combat them all.<br>Requires acceptance of EA’s Privacy &amp; Cookie Policy and User Agreement.<br><br>SMARTER THAN YOUR AVERAGE ZOMBIE<br>Be careful how you use your limited supply of greens and seeds. Zombies love brains so much they&#39;ll jump, run, dance, swim and even eat plants to get into your house. Open the Almanac to learn more about all the zombies and plants to help plan your strategy. <br><br>FIGHT LONGER, GET STRONGER<br>Earn 49 powerful perennials as you progress and collect coins to buy a pet snail, power-ups and more.<br><br>GROW WITH YOUR GAME<br>Show off your zombie-zapping prowess by earning 46 awesome achievements and show off your zombie-zapping prowess.<br><br>COIN PACKS<br>Need coins for great new stuff? Buy up to 600,000 coins right from the Main Menu.<br><br>*Original Mac/PC downloadable game.<br><br>Be the first to know! Get inside EA info on great deals, plus the latest game updates, tips &amp; more…<br>VISIT US: eamobile.com <br>FOLLOW US: twitter.com/eamobile<br>LIKE US: facebook.com/eamobile<br>WATCH US: youtube.com/eamobilegames<br><br>User Agreement: terms.ea.com<br>Visit https://help.ea.com/ for assistance or inquiries.<br><br>EA may retire online features and services after 30 days’ notice posted on www.ea.com/1/service-updates.<br><br>Important Consumer Information. This app contains direct links to the Internet<br><br>Requires acceptance of EA’s Privacy &amp; Cookie Policy and User Agreement","https://play-lh.googleusercontent.com/hO7716hh7NCcFauJedDclX-R3Zh9JmbSs8AUU6TP2edGVILlZM7gmyt_8WPCZELiPQA","GAME_STRATEGY"
"Lords Mobile: Kingdom Wars","com.igg.android.lordsmobile","Are you ready for a REAL fight?<br><br>The true Emperor has fallen. We need a real hero, a true Lord who can unite the Kingdoms. Recruit heroes from various backgrounds, from dwarves and mermaids to dark elves and steampunk robots, and assemble your army in this magical world! Fight and conquer to establish your empire in the strategy games!<br><br>[Game Features]:<br><br>▶▶ Embark on the Guild Expedition ◀◀<br>Experience a grand Guild vs Guild battle, where multiple guilds compete against each other to expand their territory. Troops will not perish in this special battleground, allowing you to unleash your full potential without any worries! Unite your guild and strategize to conquer the battlefield!<br><br>▶ ▶  Collect Artifacts! ◀◀<br>Discover ancient Artifacts in the Artifact Hall. Upgrade and enhance them to unlock their true power! <br><br>▶ ▶ Build Your Own Kingdom ◀◀<br>Upgrade buildings, conduct research, train your troops, level your Heroes and lead your Kingdom well to prosper in this strategy game!<br><br>▶ ▶ Utilize Troop Formations ◀◀<br>4 different troop types, and 6 different troop formations for you to choose from! Plan your lineups, take advantage of the counter system, and pair your troops with the right Heroes! Perfect your strategy to defeat your enemies!<br><br>▶ ▶ Powerful Heroes Await ◀◀<br>Create a strong team of 5 Heroes to fight through an RPG-style campaign! Let them lead your kingdom to glory as war generals!<br><br>▶ ▶ Forge Alliances ◀◀<br>Join a guild to fight alongside your allies! Ride into war together to conquer various exhilarating events: Guild Wars, Kingdom Versus Kingdom battles, Battle Royals, Wonder Wars, Darknest Invasions, and much more!<br><br>▶ ▶ Clash Online with Global Players ◀◀<br>Brawl with millions of players from all over the world, and defeat those who stand in your way! Seize the throne and rule over all in this amazing strategy game!<br><br>▶ ▶ Animated Battles ◀◀<br>Experience the thrill of war as your armies clash in beautiful 3D graphics! Watch as your Heroes unleash their skills and harness their mystical power! <br><br><br>===Information===<br>Official Facebook Page: <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FLordsMobile&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw2lntDaXgPBwvukJ9NZ00Xk"" target=""_blank"">https://www.facebook.com/LordsMobile</a><br>Instagram: <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Flordsmobile%2F&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw3RORBRSUu24S0VfeuTDUgD"" target=""_blank"">https://www.instagram.com/lordsmobile</a><br>YouTube: <a href=""https://www.youtube.com/LordsMobile"" target=""_blank"">https://www.youtube.com/LordsMobile</a><br>Discord: <a href=""https://www.google.com/url?q=https%3A%2F%2Fdiscord.com%2Finvite%2Flordsmobile&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw0e3aQkEGHbY85AQO8rnpm3"" target=""_blank"">https://discord.com/invite/lordsmobile</a><br><br>Note: This game requires an internet connection to play.<br><br>Customer Service: help.lordsmobile.android@igg.com<br><br>[App Permission]<br>Devices running Lollipop (OS 5.1.1) or below can enable the following to save game data on external storage.<br>- WRITE_EXTERNAL_STORAGE","https://play-lh.googleusercontent.com/UcJBSxtxOsATxtl0PvNtMk_F7jjZR6pm1FxkiMFsAwOCBdAk0tM9n3NxwFrOwR-KX8c","GAME_STRATEGY"
"Doomsday: Last Survivors","com.igg.android.doomsdaylastsurvivors","Doomsday: Last Survivors is a zombie survival game with multiplayer online competition and real-time strategy elements. Set in a near future where zombies have taken over the world, survivors must fight for their lives and humanity&#39;s future. As the Commander, you must lead fellow survivors to build their Shelter, explore fog-filled areas, and fight the zombies and rival factions! Are you tired of the usual strategy games and love zombie games? Check out Doomsday: Last Survivors to experience the exciting survival game!<br><br>[Game Highlights]<br><br>New Tower Defense Gameplay<br>Find new ways to beat your enemies in one of the coolest strategy games! Skilled survivors will join you to explore this fallen world oozing with the infected. Stay sharp, set up ideal Hero formations, and construct fortifications to survive the zombie invasion!<br><br>Survival of the Fittest<br>Lead troops and civilians in your Shelter! Exterminate zombies to survive the apocalypse, or raid other Shelters to sustain your own. You can also form an alliance and fight enemies with your allies in one of the best survival games!<br><br>A Realistic Doomsday Experience<br>The crisis continues to loom over us in a cruel world where it&#39;s kill or be killed. Want to experience one of the best immersive survival experiences in zombie games? Look no further! Check out the realistic spherical terrain system with convenient zoom controls that enable close-up Shelter views to satellite views. Download Doomsday: Last Survivors today!<br><br>Strategic Battles<br>Become the best at survival games by utilizing everything you can find. Train multiple troop types and execute diverse battle strategies with Hero skills and attacks to outlast the zombie hordes.<br><br>Unique Heroes<br>Realistic and exciting Hero designs portray survivors from different walks of life. Recruit talented Heroes to help lead your troops, defend your Shelter, and beat one of the best strategy games!<br><br>Commander, are you ready to survive the apocalypse?<br><strong>Become the best at zombie games with your strength and wits!</strong><br><br><b>===Information===</b><br>Official Facebook Page: <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FDoomsdayLastSurvivors&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw2J9rf69T8_4UqOCA80XCwy"" target=""_blank"">https://www.facebook.com/DoomsdayLastSurvivors</a><br>Official Discord: <a href=""https://www.google.com/url?q=https%3A%2F%2Fdiscord.gg%2FbZErQs6CkN&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw2BfrhV4XBw_I2HoVq2hwRJ"" target=""_blank"">https://discord.gg/bZErQs6CkN</a><br>Customer Service: help.doomsday.android@igg.com","https://play-lh.googleusercontent.com/qbUzwR2nLBsAxe8E9gDnviz2y7tYN1VvQBm3oJQSyQfd3_3NF8aD1_ULzLlsltKlfzLR","GAME_STRATEGY"
"Puzzles & Survival","com.global.ztmslg","<b>Match-3 Puzzle meets Strategy! Solve the mysteries and build an impenetrable sanctuary. The future of humanity is in your hands.<br>Tip: Use your brain to defend your brain!</b><br><br>——APOCALYPTIC FEATURES——<br><b>※ STRATEGY + MATCH-3※</b><br><b>- Solve puzzles to kill zombies</b><br>- Arm yourself with strategy and tactics<br>- A combination of a tactical wargame and casual puzzle gameplay<br>- An innovative post-apocalyptic experience<br><br><b>※ BUILD A SANCTUARY※</b><br>- Lead survivors in the last bastion of humanity<br>- <b>Craft cutting-edge equipment to smash your enemies</b> <br><br><b>※ FORMIDABLE HEROES※</b><br>- Superhuman powers emerged alongside the zombie virus<br>- Recruit Heroes from the notorious Noah&#39;s Tavern<br>- <b>Heroes</b> improve your military and economical strength<br><br><b>※ FRIENDS OR FOES※</b><br>- No one can survive alone, fight alongside your allies<br>- Watch out for potential threats, be they zombies or humans<br><br>Official Facebook fan page: <br>https://www.facebook.com/PnS.37Games/<br><br>[Notes]<br>Puzzles &amp; Survival is a free-to-play mobile game with in-app purchases. According to 37GAMES&#39; Terms of Use and Privacy Policy, this application is not intended for use by users under the age of 12.<br><br>A device with internet access is required.<br><br>[Help]<br>🌟Do you need help?<br>Feel free to contact us via the in-game Customer Service or send us an Email at: global.support@37games.com<br>Privacy Policy:<br>https://gpassport.37games.com/center/servicePrivicy/privicy<br>Terms of Use:<br>https://gpassport.37games.com/center/servicePrivicy/service<br>Facebook：<br>https://www.facebook.com/PnS.37Games<br>Twitter：<br>https://twitter.com/37games_pnsjp<br>Discord：<br>https://discord.gg/puzzlesandsurvival","https://play-lh.googleusercontent.com/4B_zYGmXjpqsn9W85hqeljFPazDT92VsFq_-Imvv2yDhaPiE6RJTwbbAcZviNws7Vpo","GAME_STRATEGY"
"We Are Warriors!","com.vjsjlqvlmp.wearewarriors","Use food to muster units and defeat your enemy in battle! <br><br>Evolve through the ages! <br><br>Send Dino Riders into battle in the Stone Age, Spartan Warriors in the Iron Age, and Tanks in the Modern Age!<br><br>Conquer the wars and become the greatest general the world has ever seen!<br><br>Find our Terms of Service here: https://lessmore.games/games/terms-of-service/","https://play-lh.googleusercontent.com/tNa57j9BYGTeuM358wV8yXj-r_3zt10dCi_3krfGqPyO6WivzRjsed8hABeclsah1yA","GAME_STRATEGY"
"Clash Royale","com.supercell.clashroyale","Enter the Arena! Build your Battle Deck and outsmart the enemy in fast real-time battles. From the creators of CLASH OF CLANS comes a real-time multiplayer battle game starring your favourite Clash characters and more. Start battling against players from around the world!<br><br>BECOME A MASTER OF STRATEGY AND DECK BUILDING<br>Choose unique Cards to your Battle Deck and head to the Arena for Battle! <br>Place your Cards right and knock down the enemy King and Princesses from their Towers in a strategic and fast-paced match. <br><br>COLLECT AND UPGRADE 100+ CARDS<br>Hog Rider! Collect and upgrade 100+ Cards featuring the Clash of Clans troops, spells and defences you know and love and many others. Win battles and progress to new Arenas to unlock powerful new Cards to your collection!<br><br>BATTLE YOUR WAY TO THE TOP<br>Battle your way to the League and Global Tournaments to match against the best players in the world.<br>Compete for glory and rewards!<br><br>SEASONAL EVENTS<br>Unlock new Seasonal items like Tower Skins, Emotes and powerful Magic Items with the Season Pass and participate in fun Challenges that put your skills to the test!<br><br>JOIN A CLAN AND GO TO WAR<br>Join or form a Clan with other players to share Cards and battle in Clan Wars for BIG rewards! <br><br>See you in the Arena!<br><br>PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money. If you do not want to use this feature, please set up password protection for purchases in the settings of your Google Play Store app. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale.<br> <br>A network connection is also required.<br> <br>Support<br>Are you having problems? Visit http://supercell.helpshift.com/a/clash-royale/ or http://supr.cl/ClashRoyaleForum or contact us in game by going to Settings &gt; Help and Support.<br><br>Privacy Policy: <br>http://supercell.com/en/privacy-policy/<br><br>Terms of Service:<br>http://supercell.com/en/terms-of-service/<br><br>Parent’s Guide:<br>http://supercell.com/en/parents/","https://play-lh.googleusercontent.com/z950eFx-wowoAV2KgHast5YFcrxoGJtY18fYd_eMgvEDVn8_tsJwApy4Dbs1iqE2tAjX","GAME_STRATEGY"
