Game Name,Package Name,Description,Icon URL,Category
"Brain Test: Tricky Puzzles","com.unicostudio.braintest","➤Brain Test is an addictive free tricky puzzle game with a series of tricky brain teasers. Different riddles and tricky tests will challenge your mind. This new puzzle game may break common sense and bring your new brain-pushing experience!<br><br>➤You can enjoy yourself with your friends with this addictive and funny free IQ game. Brain games, IQ games and mind games can be a great way to enhance your brain. Think out of the box, crack the puzzles and get ready to take the quiz! You will enjoy this funny tricky test. This game is a new game and an offline game. Also one of the best games in the world. When you&#39;re tired and need to brain out for a while, play this tricky brain teaser game or other puzzle games from the Brain Test Series: Brain Test 2: Tricky Stories, Brain Test 3: Tricky Quests, Brain Test 4: Tricky Stories and Who Is? Brain Teaser &amp; Riddles.<br><br>➤If you are a fan of word games, word search games, puzzles, sudoku puzzles, riddle games or any other quiz games, tricky test Brain Test is your best choice! Brain Test game is a popular choice in the puzzle games category, offering a fun mind game experience. Much funnier than classic test games. Brain games and iq games are for improving the brain. You can play the best games offline. Brain games for adults are fun, including popular mind games like Brain Test.<br><br>⭐FEATURES⭐<br>● Tricky &amp; Mind-blowing Brain Teasers and Brain Go: You will be tricked!<br>● Unexpected game answers to the great number of quizzes.<br>● Fun for All Ages: The best trivia game for family &amp; friends’ gatherings!<br>● Enjoy this impossible quiz.<br>● Download this funny game for free.<br>● Endless fun and brain-pushing games.<br>● Great exercise for the brain.<br>● Brain Test is a fun offline brain game for a relaxing brain out.<br>● Simple and highly addictive game play.<br>● Great pastime with riddle games.<br>● Play without the internet.<br>● Offline puzzle games.<br>● One of the best free games. Brain games for adults, puzzle games and new games.<br><br>Have fun!","https://play-lh.googleusercontent.com/L4-Oa6O8GV4I23JTmo-xKSjfyjowc0d2uGGfdScYkCTMk6ftxTwGowdAjgh2nOrJlEmI","GAME_TRIVIA"
"TRIVIA STAR Quiz Games Offline","com.trivia.star.android","DOWNLOAD the best trivia games FREE!<br><br>Trivia Star has exciting trivia games Free for trivia addicts and quiz heads! Trivia Star starts as an easy free trivia game and gets harder as you level up! <br><br>ENJOY CHALLENGING TRIVIA GAMEPLAY!<br>- Train your brain with addicting trivia questions in free trivia games!<br>- Beat the clock and answer the multiple choice question!<br>- Choose from over 60+ categories including: general knowledge, food, celebrities, animals, sports, music, movies, TV shows, brands, science, and more!<br>- Can&#39;t figure out the answer? Use coins to get a hint and win the level!<br><br>FEATURES:<br>- Daily bonus coins for free hints!<br>- Dozens of Trivia Categories for multiple choice quiz questions!<br>- Over 1000+ Levels of quiz games free!<br>- Answer over 10,000 trivia questions!<br>- Easy to play and difficulty increases as you go - the perfect brain training game! <br>- Play free trivia games OFFLINE or ONLINE - anytime, anywhere.<br>- For trivia games free in single player mode, download Trivia Star for free quiz games Now!<br><br>Get Trivia Star for the best trivia game apps free for quizzes and trivia game fans, and more!<br>Play trivia games now in Trivia Star - it&#39;s so addictive!<br><br>The prizes in this trivia game are not exchangeable for real-world money or prizes. Having an issue with these free trivia and quiz games for android? For immediate support, contact us at support@superfree.com. Thanks!","https://play-lh.googleusercontent.com/gy2Uy9B0mpQtOLoUSG17h-pJs7XjyjsxkKKyD4s_GFqL_bvHHjsdLO9ZNQBisv0_cZJt","GAME_TRIVIA"
"Brain Test 4: Tricky Friends","com.unicostudio.braintest4","➤Brain Test 4 brings a cast of new characters, new customization mechanics, and the most importantly all-new brain teasers. We are going &#39;back-to-basics&#39; to refresh the original Brain Test: Tricky Puzzles formula with a huge dose of trickiness. Brain Test is an addictive free tricky brain puzzle game with a series of tricky brain teasers for a relaxing brain out. These offline mind games, brain games, IQ tests, thinking games and puzzle games are perfect for those who love a good brain workout.<br><br>➤Different riddles and tricky tests will challenge your mind, making it a great choice for brain teaser game enthusiasts by playing brain training games for a relaxing brain out. Brain Test 4 is one of the fun offline puzzle brain games from the makers of Brain Test: Tricky Puzzles, Brain Test 2: Tricky Stories and Brain Test 3: Tricky Quests and Who Is? Brain Teaser &amp; Riddles. Brain Test 5 is coming in the following months! Brain Games for Adults and no wifi games are solving games for your brain.<br> <br>➤Brain Test 4 is catered for the Brain Test veterans who are looking for challenging tricky puzzles to solve. If you&#39;re a fan of free brain games and mind games that really make you think, this puzzle brain game for you. Nothing is as it seems and everything is there to trick your brain. But the game provides a robust hint system to help you along the way. Get ready for a challenging, but enjoyable and accessible experience. Each level is a brain teaser games arena, inviting you to brain it on with a series of brain puzzles and thinking games. Find out if this offline puzzle game is an easy game!<br><br>➤With their colorful cast of members such as Tricky Lily and Astrodog, Brain Test 4&#39;s Tricky Club awaits you to solve the trickiest puzzles of all time. It&#39;s a fun and engaging way to test your IQ and brain puzzle-solving skills. Time to sharpen your wits and expand your mind! Brain teaser games like these are perfect for mental exercise, and you can play the best games offline. This puzzle brain game is a new game and an offline game. Also one of the best games in the world.<br><br>➤You can enjoy yourself with your friends with this addictive and funny free IQ game. Think out of the box, crack the puzzles and get ready to take the quiz! You will enjoy this funny tricky test. Brain games and iq games are for improving the brain. You can play the best games offline. When you need to brain out for a while, this game is just for you!<br><br>➤➤Brain Test enthusiasts! Brain Test 5 is on the way! Keep following us!<br><br>⭐FEATURES⭐<br>● Tricky &amp; Mind-blowing brain teasers.<br>● Surprising riddles to learn if you find this offline game as an easy game.<br>● Unexpected solutions for offline puzzle games.<br>● Tricky Club system with unlockable characters in this no wifi games and solving games.<br>● Character and Environment customization options.<br>● Fan-favorite Brain Test art style with animated characters.<br>● Dozens of levels and constant new level updates and free brain games.<br>● Humorous dialogues and exciting stories.<br>● Family friendly gameplay. Safe content for all ages.<br>● Can be played with one hand.<br>● Can be played offline and without internet.<br>● One of the best free games. Puzzle Brain games for adults, puzzle games and new games. <br>● Free mind games, smart games.<br>● Completely free to download and free to play. Test your brain.<br>● Play without the internet. Free offline game.","https://play-lh.googleusercontent.com/-C4zrZ_zF2uwY05kPc_jvQOC8AuwkWslUQlew6s_pUzXvNkgAmyFR0Bi_Z2oZDlOnoQ","GAME_TRIVIA"
"Triviascapes: trivia & IQ test","com.mnogogames.triviascapes","Escape the ordinary and ignite your intellect with Triviascapes, your perfect destination for relaxing trivia fun!<br><br>Immerse yourself in endless trivia questions that will boost your IQ, knowledge and cognitive thinking abilities. Whether you&#39;re a fan of history, geography, or science, or you&#39;re intrigued by questions about animals, food, or literature, Triviascapes has it all!<br><br>The game features a unique progression system, where each several questions answered earn you a fragment of a new stunning background. Complete the whole level, collect all the fragments and unlock a new breathtaking view right from nature&#39;s gallery!<br><br>In Triviascapes, it&#39;s okay to make a mistake. If you get a question wrong, you lose one life out of five. But don&#39;t worry! With the coins you earn along the way, you can buy more lives or even helpful hints for those tricky questions that leave you stumped.<br><br>Remember, making mistakes and using hints are all part of the exciting learning journey!<br><br>Challenge your mind with hard and easy quizzes as you journey through beautiful landscapes. Our educational trivia game is designed to provide an intellectual challenge for your brain while allowing you to relax and unwind. It&#39;s a competition where your memory and logical skills will be put to the test.<br><br>KEY GAME FEATURES<br>- Unique &amp; challenging trivia quizzes<br>- Beautiful scenery<br>- Simple design<br>- Relaxing music<br>- Clear rules<br><br>Its calming music and serene scenery make Triviascapes more than just a game — it&#39;s a relaxation tool designed to help you take a break from your daily routine. Expand your knowledge and enjoy the adventure with Triviascapes, where learning is fun and relaxation is guaranteed!","https://play-lh.googleusercontent.com/KaNa8decEpExBOyoCUXeGss9BWN7UaV-XL5X63s8VIBArFTGbjCxJyaU2tFM2zk4hw","GAME_TRIVIA"
"Brain Test 2: Tricky Stories","com.unicostudio.braintest2new","➤With over a zillion downloads, Brain Test: Tricky Puzzles redefined brain games. Now get more of the same exciting riddles and funny tests with Brain Test 2! If you like tricky games, riddles or brain games, then Brain Test 2 with tricky tests is a great exercise for your brain. If you enjoy tricky test challenges and solving brain puzzles, this game is the perfect exercise for your mind as it challenges players with a variety of intriguing riddles, puzzle games, and brain teasers. Brain Test 2 is one of the fun offline brain games from the makers of Brain Test: Tricky Puzzles, Brain Test 3: Tricky Quests, Brain Test 4: Tricky Stories and Who Is? Brain Teaser &amp; Riddles. <br><br>➤Get ready to be bamboozled with all-new mind-twisting puzzles, including scenarios that require you to brain out and face brain test challenges. In this new brain game, puzzles have stories with colorful characters. Defeat the Lion King with Tom the Cat, cultivate your farm with Emily, or hunt monsters with Joe in these engaging brain test games. It is an easy to play, but hard to master game as there are various layers of difficulty with the tricky puzzle system. There are hundreds of story based mind games, IQ puzzles and quiz games. Brain Test 2 is a funny and tricky addition to the puzzle games of the world.<br><br>➤Brain Test 2 is an addictive free tricky puzzle game with a series of tricky brain teasers. Different riddles tests will challenge your mind. This new puzzle game may break common sense and test your brain with outside the box solutions. You can enjoy this funny free IQ game by yourself or with your friends as you can try to pass the levels together. Get ready to take the quiz! Are you ready for a brain wash with funny riddles? Brain games and iq games are for improving the brain. You can start playing this tricky and exciting brain teaser puzzle game right now to enjoy it completely offline.<br><br>➤This free brain game is one of the best puzzle games for adults. It is suitable for all ages and serves as an excellent brain training tool. The game&#39;s mix of challenging riddles, brain teasers, mind games, and IQ games makes it a delightful brain exercise.<br><br>➤If you are a fan of the word game genre, word search game, puzzle, sudoku or any other quiz games, Brain Test is a good choice for you! Play hundreds of amazing jigsaw puzzles for your brain out of classic brain games. Find out if this game is an easy game!<br><br>⭐FEATURES⭐<br>● Tricky &amp; Mind-blowing Brain Teasers: You will be tricked!<br>● Unexpected game answers to the great number of quizzes.<br>● Fun for All Ages: A great trivia game for family &amp; friends’ gatherings!<br>● Download this funny game for free.<br>● Lots of fun and brain-pushing games.<br>● Great exercise for the brain.<br>● Simple and highly addictive gameplay.<br>● Great time filler.<br>● Play offline.<br>● Sequel to the popular Brain Test: Tricky Puzzles.<br>● Logic games, Brain Go, brain quiz and IQ games.<br>● Improve your brain out of any classic riddles.<br>● Offline mind game &amp; easy game for brain training.<br>● Puzzle games for adults and brain teaser games for brain training.<br><br>Have fun and be ready for Brain Test 3!","https://play-lh.googleusercontent.com/OcO41gFvRBA8quddPdvVGd5l_yYjZPxjBcW_aajihF3cFxnZZDofoGYJ3EGyo-26qFc","GAME_TRIVIA"
"Black Color Paint By Number","com.art.pixel.black.girl.games.paint.color.by.numbers","Welcome to Black Color: A Coloring Game Celebrating Diversity!<br>Embrace creativity and celebrate diversity with Black Color, a unique coloring game designed to inspire and uplift. Developed with a deep appreciation for the beauty of diversity, Black Color invites players of all ages and backgrounds to explore a world of vibrant colors and intricate designs.<br>Features:<br>1. Inclusive Artwork: Dive into a stunning collection of artwork featuring diverse characters and scenes celebrating the beauty of Black culture and heritage.<br>2. Endless Creativity: Unleash your imagination with a wide range of coloring tools and a palette bursting with colors. From bold and bright hues to subtle shades, the possibilities are endless!<br>3. Relaxing Experience: Take a break from the hustle and bustle of everyday life and immerse yourself in the soothing experience of coloring. With calming music and intuitive controls, Black Color offers a relaxing escape for players of all ages.<br>4. Popular Content: Learn about Black history, culture, and achievements as you color. Each artwork is accompanied by insightful descriptions, providing a deeper understanding of the significance behind the designs.<br>5. Share Your Masterpieces: Show off your artistic flair by sharing your completed masterpieces with friends and family. Spread joy and inspiration with the touch of a button!<br>Why Black Color?<br>At Black Color, we believe in the power of representation and inclusivity. Our mission is to celebrate Black culture and promote positive representation through art and creativity. By offering a diverse range of artwork and educational content, we aim to inspire players to appreciate the richness and diversity of the world around them.<br>Join the Community:<br>Connect with fellow artists and enthusiasts in our vibrant community. Share tips, showcase your artwork, and participate in exciting challenges and events. Together, let&#39;s celebrate diversity and spread love through art!<br>Download Black Color Today and Let Your Creativity Shine!<br>Embark on a colorful journey of self-expression and discovery with Black Color. Whether you&#39;re a seasoned artist or a novice enthusiast, there&#39;s something for everyone to enjoy in this one-of-a-kind coloring game. Download now and start coloring your world with love, unity, and diversity!","https://play-lh.googleusercontent.com/pamorIZtQO4bepXzlajeUvWSoVKFjf8D-x966BcNLujZFe0gB87DMChfV6YG0k_g_T4","GAME_TRIVIA"
"QuizzLand. Quiz & Trivia game","com.xmonetize.quizzland","QuizzLand is an entertainment trivia game where you get unlimited questions that can’t be found anywhere else.<br> <br>Install QuizzLand and answer trivia questions, read interesting explanations, educate yourself. <br><br>This stress-relieving trivia game will take your mind off daily troubles and help you relax.<br>Just your brain and our quizzes. No need to wait for other players&#39; replies! <br> <br>QuizzLand is available in the most spoken languages. If you want the game to be translated into your native language, you’re welcome to share your suggestion with us at contact@quizz.land.<br> <br>Earn coins for correct answers and spend them on hints for the most challenging questions.<br> <br>Join the league of the smartest players and collect achievements of all kinds.<br> <br>Invite friends and get rewarded!<br> <br> <br>QuizzLand is:<br>-a fun trivia game to test your IQ and general knowledge<br>-entertaining questions for all categories of interest<br>-a relaxing game, which is also a source of valuable and little-known information<br>-a great opportunity to challenge your friends and other players for highest ranks<br>-delightful learning experience whether you know the answers or not<br>-a game to help you fall asleep or to start your day with<br>-detailed explanation for every question<br> <br> <br>It’s nothing like other educational and anti-stress games: QuizzLand makes learning easy and relaxes your mind at the same time! <br>*******************************<br>How to play<br> <br>-check your knowledge: answer questions, read descriptions for correct answers and compete with other players.<br>-to complete a level, you have to find the exit in a trivia maze.<br>-you get points for each question answered correctly. If you give a wrong answer, no points are added to your account. Moreover, each wrong answer takes one of your lives. Your lives are displayed in the upper left corner of the screen.<br>-if you continue playing after finding the exit, you will get more points for each question answered correctly.<br> <br>Questions:<br> <br>-all questions are filtered by difficulty. The more questions you answer, the more difficult questions you get. The difficulty of a question is indicated by white scales under each question.<br>-you get more points for difficult questions.<br> <br>Coins and lives:<br> <br>Coins are the in-game currency used in QuizzLand. Use coins to buy lives, hints and other useful options.<br>-if you want a larger amount of coins, you can make such a purchase in QuizzLand Store. To open the Store, tap on the cart icon in the upper right corner of the screen.<br>-earn coins without buying them: collect your daily coin bonus, watch suggested videos or get coins by playing mini-games inside the maze.<br>-you also get coins once the level is completed. In this case, the number of coins depends on how many questions you answered correctly.<br>-your lives refill in a few minutes but you can also get them faster for coins. You can also get lives if you watch a suggested video.<br> <br>Question hints:<br> <br>“Double Chance” - activate the hint, then choose the answer. If it is incorrect, then you&#39;ll be able to try to answer again.<br>“Fifty Fifty” -  eliminate two incorrect answers in a question.<br>“Majority Vote” - see what answer option the majority of players have chosen.<br>“Skip Question” - activate the hint to skip a question and answer another instead.<br> <br>Map hints:<br> <br>“Show Exit” can be used to find the exit from the maze.<br>“Flip Tile” allows you to flip any of the unopened questions.<br>“Open Map” will flip all the tiles in the maze at once.<br> <br>Mini memory games:<br>-these short calming games are available after each level - just in case you need a little refocus <br>-play bonus memory games and earn more points. These brain games were created to train your concentration, memory and attention skills.<br>-you can finish a memory game any time you like, however if you do it before the time is out, your reward will be smaller.","https://play-lh.googleusercontent.com/Qgc4EEL1_eHILY88Q5l8AIwsyAG-XVUEEC3_Y0p1BdlEIFKArO84i9AsB_5qFqFvrA","GAME_TRIVIA"
"Going Balls Order","com.omg.goingballsorder","Become a balls master in this new game. Find the right path by knocking balls in hole, and defeat every level.","https://play-lh.googleusercontent.com/iuhZCHAExouxHVVhoxP-7A9woMs0z3xJt2PJLOQ48CmbWQWiylViUtq1-XveZiEbGGRD","GAME_TRIVIA"
"Type Sprint: Typing Games","typing.fast.texting.practice.keybord.type.games","Ready to challenge your brain and typing speed? Type Sprint is one of the most exciting type battles! Join this breathtaking typing race against quick sneaky opponents, go level by level to complete various missions, and become the best type runner. From simple typing games to tricky word trivia — this texting game has plenty of brain-busting and typing practice!<br> <br>Type Sprint is packed with match 3 games, word problems, hidden objects, and different riddles that will test your memory, typing speed, and strategic thinking.<br><br>BEST FEATURES:<br> <br>5-in-1 type run with levels, fun missions, and rewards. This is one of the best running games you’ll never get tired of!<br>Dynamic and educational typing race. You don’t simply run and type but also improve your texting skills.<br>As simple as abc: fun gameplay, easy navigation, and nice design. The type run you&#39;ll definitely love!<br>Crowds of sneaky opponents: from easy-to-defeat losers to smart and skillful type runners. Leave them all behind!<br>Endless fun type and brain-pushing games. Not just play—think!<br> <br>Great time filler and excellent typing practice. Texting games have never been so addictive!<br> <br>Have fun running, typing like a pro, and beating every level in one of the most popular typing games. Become the master of fast typing and enjoy this running game for free, and we’ll be keeping a keen eye on your feedback to make it the best texting game ever. We can’t wait for your review to hear what you think!","https://play-lh.googleusercontent.com/r_KiH7LuSNJnwoBmeKpoM8TWRugcZBlScUjHcDiExDrBd-aGn2IExMts088d4adpTmo","GAME_TRIVIA"
"Trivia Crack","com.etermax.preguntados.lite","Welcome to Trivia Crack, the ultimate trivia questions where you become the true trivia star by playing exciting trivia games! Are you ready to test your knowledge with our captivating quiz questions and conquer the ranking of the trivia leaderboard? <br><br>Trivia Crack offers an unparalleled quiz experience with endless questions across various categories. Become the trivia star you&#39;ve always wanted to be as you challenge friends and family with questions in this exhilarating trivia games. <br><br>Embark on a journey filled with fun and excitement as you answer questions spanning from history and science to entertainment and sports. Test  your brain with amazing trivia questions in free trivia games. Compete against friends and family in thrilling trivia games. With our extensive collection of trivia questions, there&#39;s never a dull moment in Trivia Crack!<br><br>But that&#39;s not all – play trivia games with Trivia Crack features, including trivia videos and interactive quizzes, you can take your trivia experience to next heights. Enjoy some friendly competition through entertaining trivia games. Showcase your expertise, create engaging questions, and compete with other trivia enthusiasts to become the ultimate trivia star. <br><br>Join millions of players worldwide and download Trivia Crack today! With our addictive quiz challenges, engaging questions, and opportunities to prove yourself as the trivia star, you&#39;ll never want to put your phone down. Are you ready to become a trivia legend? Let&#39;s play trivia games in Trivia Crack now!<br><br>Have any questions or concerns? Check our Support page!<br>triviacrack.help.etermax.com or send us an email to triviacrack.help@etermax.com.<br><br>Want the full trivia experience? Follow us on:<br>- Facebook: https://www.facebook.com/triviacrack<br>- Twitter: @triviacrack<br>- Instagram: https://instagram.com/triviacrack<br>- YouTube: https://www.youtube.com/channel/UC-TLaR04Abrd7jIoN9k0Fzw","https://play-lh.googleusercontent.com/flNnD5C6VBbITdFM8gGnqLoFiSrEP4Et5e3P0gdQl3T7o0znQdoNQruLF3TzZqneEzE","GAME_TRIVIA"
